\,watt-median,L1-dcache-loads:u,L1-dcache-loads:u-square,L1-dcache-stores:u,L1-dcache-stores:u-square,L1-icache-load-misses:u,L1-icache-load-misses:u-square,LLC-loads:u,LLC-loads:u-square,LLC-load-misses:u,LLC-load-misses:u-square,LLC-stores:u,LLC-stores:u-square,LLC-store-misses:u,LLC-store-misses:u-square,dTLB-loads:u,dTLB-loads:u-square,dTLB-load-misses:u,dTLB-load-misses:u-square,dTLB-stores:u,dTLB-stores:u-square,dTLB-store-misses:u,dTLB-store-misses:u-square,iTLB-load-misses:u,iTLB-load-misses:u-square,branch-loads:u,branch-loads:u-square,branch-load-misses:u,branch-load-misses:u-square,L1-dcache-load-misses:u,L1-dcache-load-misses:u-square,node-loads:u,node-loads:u-square,branch-instructions:u,branch-instructions:u-square,branch-misses:u,branch-misses:u-square,bus-cycles:u,bus-cycles:u-square,cache-misses:u,cache-misses:u-square,cache-references:u,cache-references:u-square,cpu-cycles:u,cpu-cycles:u-square,instructions:u,instructions:u-square,mem-stores:u,mem-stores:u-square,ref-cycles:u,ref-cycles:u-square,mem-loads-aux:u,mem-loads-aux:u-square,slots:u,slots:u-square,topdown-br-mispredict:u,topdown-br-mispredict:u-square,topdown-fetch-lat:u,topdown-fetch-lat:u-square
stress-ng --cpu 1 --cpu-method div16 --timeout 10s,8.455,193936.896273983,37611519736.38564,123135.949846938,15162462144.707632,24680.068019527,609105757.4484794,243.31132766838,59200.402171749774,14.1067356021953,198.9999893502444,0.19577853958101,0.038329236560473094,2.08855367316492,4.362056445690679,193701.100627486,37520116384.29946,80.9387258582706,6551.077343560282,122857.752124307,15094027257.037659,64.4500204359256,4153.805134191227,405.423303484681,164368.05500843175,467856390.471438,2.1888960210496266e+17,2088022.13326231,4359836428993.2876,4328.86335673691,18739057.961299546,-0.201390711739406,-0.201390711739406,563814102.898735,3.178863426275054e+17,2518576.30052912,6343226581586.948,3469196052.08192,1.203532124778078e+19,976.443706073003,953442.3111295811,2551.90803386675,6512234.613313662,3466331129.45959,1.2015451499060597e+19,3360347120.16937,1.1291932768030579e+19,112297.195276709,12610660067.015314,3468125581.75887,1.2027895050850302e+19,536.531595664803,287866.1531466197,20807150367.1251,4.3293750640015416e+20,81795261.7843174,6690464850365015.0,6935597620.34377,4.810251435131816e+19
stress-ng --cpu 1 --cpu-method div32 --timeout 10s,7.555,178467.103198672,31850506924.125443,112667.492975608,12693963973.408676,25900.8231975223,670852642.3093092,189.239334082318,35811.52556391917,16.9686844426976,287.9362517158476,8.14446028173101,66.33223328069397,1.98772137862608,3.951036279047164,197271.863850841,38916188267.18475,84.4505544083562,7131.8961398787305,125493.003802851,15748494003.462376,60.4899830528024,3659.0380497283218,114.973357292016,13218.87288699757,479926386.086614,2.303293360621577e+17,2142838.24622973,4591755749504.905,5276.05497217329,27836756.06939449,4.87260496161715,23.74227911197607,481031953.497458,2.3139174028558058e+17,2146794.12969594,4608725035296.947,3470556808.23902,1.2044764559214213e+19,993.075342785338,986198.6364482165,2631.28626029955,6923667.383641192,2952071217.8521,8.71472447527078e+18,3368734299.67571,1.1348370781811597e+19,112511.740982463,12658891858.904844,3465835286.54476,1.20120142334588e+19,466.316496737823,217451.0751298361,17224527280.6378,2.966843400414358e+20,135289114.286477,1.8303144444419436e+16,68078164.0095301,4634636414908479.0
stress-ng --cpu 1 --cpu-method div64 --timeout 10s,7.44,144046.976400197,20749531410.03891,89652.0824096743,8037495880.391032,29379.0447938276,863128272.9977287,197.795857843551,39123.20138006624,13.4145326687961,179.94968672219784,3.97603726652487,15.80887234479456,2.38725144174855,5.698969446130532,154621.02980063,23907662856.60731,79.6893470752343,6350.392037277153,96784.9146769781,9367319709.02993,62.9200352645344,3958.9308376902522,88.5906687842361,7848.306595638224,347638208.746725,1.2085232418063157e+17,1552139.88879438,2409138234386.6304,5712.81668896247,32636274.52168812,4.47242085034569,20.00254826260687,348322891.227924,1.2132883655338016e+17,1554971.02251568,2417934880863.459,3460067389.78008,1.1972066341819535e+19,874.369320309693,764521.7082988345,2378.80108241645,5658694.589705673,3457225094.34357,1.1952405352958908e+19,2446226621.92924,5.984024685835342e+18,97535.8256961929,9513237294.238123,3470663890.11989,1.204550783818213e+19,516.5024343068,266774.7646448502,20788804739.0408,4.321744024779652e+20,81723744.4292064,6678770403530244.0,516534.518849281,266807909162.85825
stress-ng --cpu 1 --cpu-method div128 --timeout 10s,9.555,1025189618.57567,1.0510137540353277e+18,328271863.518223,1.0776241637772682e+17,27411.7091794098,751401800.1365396,192.035801501555,36877.749058344634,19.3839513508451,375.73756997192953,6.96047334902112,48.44818924243329,4.07837364291443,16.63313157121912,1027815112.41864,1.0564039053161416e+18,78.3136039476881,6133.020563275349,329112977.7473,1.083153521216948e+17,62.8317252881965,3947.8257026913916,114.194150297957,13040.303962272392,1971449907.19613,3.88661473658363e+18,20569567.4468861,423107104951996.4,4159.81085455474,17304026.345671438,3.57607385173326,12.788304193050354,1632216190.25647,2.664129691735345e+18,16918566.95432,286237907787808.7,3469213815.77587,1.2035444499570172e+19,1084.35753720165,1175831.2684860278,2540.37781200266,6453519.427715423,2872357817.3821,8.250439431076062e+18,13356780246.0389,1.78403578540975e+20,395375648.162032,1.563219031595469e+17,3467680814.40318,1.2024810230579902e+19,475.79488335979,226380.77103135615,17247054080.3509,2.9746087445054856e+20,3719764335.34655,1.383664671051616e+19,406286723.052037,1.6506890132836262e+17
stress-ng --cpu 1 --cpu-method double --timeout 10s,9.7,2259072532.26476,5.103408706033115e+18,730322532.412943,5.333710013500542e+17,51181.2526633006,2619520624.1846147,194.158931524509,37697.69069073898,16.5647491087719,274.3909130365594,8.14221639922802,66.29568789185771,1.98732068532198,3.9494435063086244,1867579908.94735,3.487854716303792e+18,82.3030183265489,6773.786825660243,603763533.365243,3.645304042216828e+17,62.575157000081,3915.650273584786,1700.47417141324,2891612.407643545,883600455.016112,7.807497641046801e+17,10688232.0768622,114238304928866.05,11198.3377605537,125402768.59944287,2.88156712614138,8.303429102458692,882175327.362021,7.782333082062889e+17,10691691.5127945,114312267404761.95,3466076321.85635,1.2013685068933243e+19,982.937895962505,966166.9073191963,2604.44640812103,6783141.092774535,2869615189.05325,8.234691333245118e+18,7878360413.16033,6.20685627996518e+19,731574475.592688,5.352012133387164e+17,3472056275.52212,1.2055174780392536e+19,476.802367505444,227340.4976587965,20791214042.9328,4.3227458137904605e+20,2446016458.62967,5.982996515887233e+18,245094554.82757,6.007134080612471e+16
stress-ng --cpu 1 --cpu-method euler --timeout 10s,9.515,746515714.03158,5.572857112960797e+17,629850034.320806,3.967110657339205e+17,25903.9820967227,671016288.4673301,87.3261875389502,7625.8630300879,38.4198110686638,1476.0818825518213,23.1438206955149,535.6364363861438,0.0,0.0,734344017.226897,5.392611356369372e+17,78.4924895375858,6161.070913808016,619580088.944548,3.83879486616534e+17,62.2214947916979,3871.5144141132887,196.37332510253,38562.48281182394,1126318218.88243,1.2685927301864896e+18,3431.53672444001,11775444.291180473,5237.67870003435,27433278.16479352,3.67417950847284,13.49959506048172,1124079163.31483,1.2635539653985684e+18,3281.82205477298,10770355.999194346,3470475517.46223,1.2044200317304734e+19,936.530472831524,877089.3265420379,2583.92794852998,6676683.64319435,2871937497.5938,8.248024990085338e+18,9251992000.77472,8.559935598239939e+19,747934455.688264,5.594059500056998e+17,3461392045.72345,1.1981234894197572e+19,454.256820335896,206349.2588216785,17215372197.554,2.963690399003153e+20,212424.100833478,45123998614.91163,551613.451447521,304277399817.8466
stress-ng --cpu 1 --cpu-method explog --timeout 10s,8.39,1123741404.04515,1.2627947431653652e+18,231397792.103164,5.35449381902191e+16,33883.457573746,1148088697.1518455,119.756975356763,14341.733146600338,48.7054372405195,2372.219616790184,23.065673368917,532.025287961567,0.298310528330061,0.08898917131256012,1357539346.74016,1.8429130779477002e+18,77.4972953289626,6005.830783304447,279533335.391682,7.81388855951986e+16,63.8114275543524,4071.8982865243647,597.472006504642,356972.79855668294,660533828.564815,4.363049386784925e+17,2959.41965951898,8758164.721147437,10390.7266449233,107967200.209519,5.66510208767649,32.09338166379653,660346787.186069,4.360578793469635e+17,2957.12616132641,8744595.134001069,3471353830.58711,1.2050297417131803e+19,940.061096476555,883714.8651087029,2349.38534123848,5519611.48162625,3468702400.22893,1.203189634135394e+19,4401626971.97905,1.9374320000453456e+19,242643089.709215,5.887566898363415e+16,3465588102.69764,1.2010300897559427e+19,463.47774286653,214811.61813265327,17243646983.0874,2.973433612773392e+20,218293.520753658,47652061203.02772,513290.155098627,263466783321.17255
stress-ng --cpu 1 --cpu-method factorial --timeout 10s,8.57,394450386.132648,1.555911071201951e+17,255128901.594986,6.509075642906405e+16,65770.1390800961,4325711194.615184,125.176783072147,15669.227020291348,26.4728833352727,700.8135520829591,17.5679249184153,308.63198593907725,0.794384709448904,0.6310470666062197,394599869.456143,1.5570905697480512e+17,82.3769698390458,6785.965159863062,255225329.082785,6.51399686054159e+16,62.3256716697726,3884.4893490882955,640.528965281743,410277.3553649004,168562174.152762,2.8413206555106064e+16,276533.299100358,76470665511.32805,7503.16551261662,56297492.70971942,3.77899890575984,14.280832729734069,169059574.231465,2.8581139639324228e+16,263548.174999837,69457640545.7447,3459944902.37048,1.197121872743947e+19,969.957273487976,940817.1123922282,2647.86630259704,7011195.956428919,2864601185.44585,8.205939951657769e+18,2132784218.55572,4.548768522920334e+18,254748581.966744,6.489684001406689e+16,3460057667.74117,1.1971999064094464e+19,14843998.4374802,220344289611914.62,17193394488.3018,2.956128140303667e+20,606976524.870405,3.6842050174375334e+17,2562387822.52544,6.565831353026666e+18
stress-ng --cpu 1 --cpu-method fibonacci --timeout 10s,8.44,218778684.008957,4.786411257669106e+16,109398394.190405,1.1968008651439238e+16,29883.5912297428,893029024.7863609,187.186682195722,35038.85399144223,20.2535144185519,410.2048463024898,10.0346684870631,100.69457164525726,2.28620841442502,5.226748914187763,217846722.417967,4.745719446825076e+16,75.9825135070286,5773.342358845784,108932446.423317,1.1866277883768828e+16,61.577379838767,3791.773707807789,313.694450958507,98404.20856215915,2636338495.82557,6.950280664571829e+18,26630737.0333219,709196154937942.4,5182.58928862337,26859231.734553684,4.17673550715201,17.445119496704358,2140244045.1629,4.5806445728552535e+18,21619789.2561236,467415287479197.4,3463416731.27302,1.1995255454461889e+19,908.371200266051,825138.2374727861,2515.24821426832,6326473.579379974,2867564049.12094,8.222923575810882e+18,8562348818.42588,7.331381728839907e+19,108433720.328109,1.1757871704194558e+16,3464966184.60958,1.200599066048787e+19,489.516773973089,239626.6720010203,17236461074.2785,2.9709559036511794e+20,3785066374.26886,1.4326727457620812e+19,1419813939.20038,2.0158716219477005e+18
stress-ng --cpu 1 --cpu-method fft --timeout 10s,12.83,3929111550.48592,1.543791757616187e+19,1720853481.43243,2.961336704558115e+18,78673.7476074409,6189558562.599314,275.358235261978,75822.15772659083,99.0837258581857,9817.584729940098,96.0076961467018,9217.47771939742,3.2832338636323,10.77962460330188,3921618167.01219,1.5379089047840047e+19,55608.6417592439,3092321038.3079247,1717571313.92536,2.9500512184192876e+18,298.618974365247,89173.29185095207,33294.0461204082,1108493507.0678685,2124929385.6944,4.5153248941875804e+18,995111.12996167,990246160973.5917,49073524.6697014,2408210823507791.5,0.0971696557577688,0.009441942000083291,2132531105.49975,4.5476889159239854e+18,969180.925086351,939311665551.2351,3472113082.83728,1.20555692600098e+19,1036.79263786152,1074938.973923849,3186.89502430849,10156299.895962212,3469284667.79613,1.2035936106205305e+19,16886800926.1668,2.8516404551998787e+20,1712951815.5868,2.9342039225221146e+18,3471114627.76497,1.2048636759083946e+19,495.99878715671,246014.79686092734,20773589208.0416,4.315420085844624e+20,163132670.295399,2.661226811770736e+16,81977799.0353536,6720359534680822.0
