"command","watt","L1-dcache-loads","L1-dcache-stores","L1-icache-load-misses","LLC-loads","LLC-load-misses","LLC-stores","LLC-store-misses","dTLB-loads","dTLB-load-misses","dTLB-stores","dTLB-store-misses","iTLB-load-misses","branch-loads","branch-load-misses","L1-dcache-load-misses","node-loads","branch-instructions","branch-misses","bus-cycles","cache-misses","cache-references","cpu-cycles","instructions","mem-stores","ref-cycles","mem-loads-aux","slots","topdown-br-mispredict","topdown-fetch-lat","cstate_core/c1-residency/","cstate_core/c6-residency/","cstate_core/c7-residency/","msr/aperf/","msr/mperf/","msr/pperf/","msr/tsc/","uncore_clock/clockticks/","unc_m_clockticks","unc_mc0_wrcas_count_freerun","unc_m_dram_page_hit_wr","unc_m_vc0_requests_wr","unc_m_dram_page_empty_wr","unc_m_cas_count_wr","unc_m_act_count_wr","unc_m_prefetch_rd","unc_m_dram_page_miss_wr","unc_m_pre_count_idle","unc_m_act_count_total","unc_m_pre_count_page_miss","unc_m_act_count_rd","unc_m_dram_page_miss_rd","unc_m_cas_count_rd","unc_m_dram_page_empty_rd","unc_m_vc0_requests_rd","unc_mc0_rdcas_count_freerun","unc_m_dram_page_hit_rd"
"stress-ng --cpu 2 --cpu-method int16 --timeout 10s",12.935,9066865.38078777,5883052.49232466,372928.526331486,40906.1922513312,2247.70877449241,38302.1066710118,23915.5179765328,9013752.37837897,343.513946971921,5866548.78464077,8230.51462931478,192.031623378311,263638918.155233,273351.198245692,89723.7180367633,318.242106131703,219022563.614961,229951.84369965,6955590519.36484,47546.6626315352,128025.150288546,5758206316.72598,14894165752.8809,5751310.11983852,6954283480.71075,42264.151270982,34562886680.0879,839971.187557455,3894339.62440864,3493191504.3165,27883821433.513,10370049609.9205,5757499594.89759,6949990037.29319,5755028035.29827,6953376683.85385,2887071806.22432,2389226676.55876,24745.6652434843,16195.3454923062,47399.153990257,27942.4086624599,47402.9389423278,13231.2960033953,41740.3450438013,2923.43704949926,25333.6317772164,41024.3545147588,7983.64150610413,21951.5766104986,2287.00451151447,83219.6433182832,32138.7882945224,86802.5166744163,44548.8943484999,54309.1539212089
"stress-ng --cpu 2 --cpu-method int8 --timeout 10s",13.37,10099074.3292821,6925504.43682915,354092.124980788,43654.4798083829,2119.69122421484,38059.8555890659,21879.3072069259,10340212.8183246,379.547792416639,7016455.12716388,8234.108879863,225.557942758028,231822366.284459,240996.042515926,93649.0743500883,437.619512483578,255438397.54757,264174.424364999,6952266182.82119,46115.91746243,136140.906520677,5752885139.40281,16004924063.6826,6911518.35514001,6950786661.77615,41907.0404964977,34509302704.2027,844446.432678906,3884115.46071154,90952258.8164807,27887364894.0604,10395510723.2026,5758304986.47849,6951890831.24011,5755768037.35464,6959402172.56661,2887524598.53674,2389032688.3504,23288.1957100048,15318.768263282,45269.7049925295,27985.78712191,45270.9005873925,15629.114947373,40459.8140606364,2826.44581289267,23962.0669631106,36224.7785323398,11676.6978646638,26976.6764115314,2570.78209287714,101463.314462083,32544.7132954568,83728.9518124477,42640.8658174964,50936.350796441
"stress-ng --cpu 2 --cpu-method int128float --timeout 10s",16.88,1864171768.19495,1092598076.35336,438191.093662158,39226.5840884001,1287.85337562047,35586.4321708353,24182.0744356547,1864755964.96727,357.748802366168,1092932664.7393,8681.96718542296,7241.57753989825,2322353511.50215,128361.809590233,119862.266239785,298.162621292024,2115077125.28988,122350.668761698,6951708202.53347,48503.0734558075,138493.673721161,6349658165.71542,22870254285.6259,1095525062.22596,6951418662.18851,41269.6065736607,41648611555.4974,847055.317558477,3666174.98453213,132553492.675938,27944911491.0831,10368777787.7889,6944485762.26276,6947580799.20999,6943064011.0624,6955048518.18133,2886781640.07562,2389313034.09398,23372.6676194835,16186.0711467795,53012.2181371731,33587.7448740119,53012.0188831954,21111.5566917477,44593.3566333618,3275.75938476334,30620.2810654525,47953.5412668343,12083.5521252244,29178.4065200491,2866.53100144764,97578.9293494802,30630.9224585296,84109.8211471486,42849.2961625054,53000.8525258582
"stress-ng --cpu 2 --cpu-method int128double --timeout 10s",16.28,3149695542.19027,1612414960.08141,621166.884607214,39650.0801053548,1576.88501950349,37975.4292092084,21229.0197043848,3145155410.45581,371.314898495172,1610118563.98695,8234.54164453951,6964.76692865932,2097442067.73863,437362.081539985,140947.592253602,232.579262904202,2316570768.39526,497805.733620412,6957461664.71095,45737.678038388,142298.578380243,6355196880.64082,20603694295.9828,1608921609.83077,6949570281.07259,40559.4844592498,41649355730.531,179873922.85449,5152767.22901967,3748700507.92235,27807350110.551,13805607692.1261,6353758062.88958,6952638886.52978,6351607714.59266,6953535455.25183,2887044653.6087,2390779801.93903,23094.3031041455,16966.9322183022,47569.5387257143,29527.2626809785,47572.3258847797,16726.8365072293,44401.1821697836,3033.45843922333,33815.7508589162,53659.5252141612,9586.44373012416,23697.5605554808,2326.45941714699,87524.5780277289,31448.6556379823,86998.1958057488,44344.1967007831,55705.1782414955
"stress-ng --cpu 2 --cpu-method int128longdouble --timeout 10s",16.205,2462330467.86246,1077424303.32879,749895.837303789,44314.3480361604,1481.98119046321,37913.4970699613,25144.390177493,2714222406.27912,436.766924289222,1187555941.27613,8243.67735789603,153212.903004759,2171637857.0709,19022238.0221207,118232.456454546,315.163263695213,2394102002.65419,21466462.1753799,6961826259.66153,50313.1125015099,159848.920077176,6360074231.99786,15616292349.2602,1189752535.96739,6956614742.46777,42452.8204025192,34511335920.6103,3651734650.44546,2437698833.47044,105430700.826664,27928325421.9634,13876246877.1932,6357245439.74792,6955647831.2904,6356120585.03544,6959644603.05997,2887205982.46809,2389972266.92813,22735.7725301977,15310.3733855515,44110.8133864632,25899.4415304766,44113.1017097134,15066.2207870496,38908.7276398139,2550.11585610753,21922.1568634217,36482.643494094,11291.4851453009,25696.7501553418,2424.56180014147,89032.0164900761,39065.6315386896,100760.736266058,51620.1456864588,61667.8371844534
"stress-ng --cpu 2 --cpu-method int64float --timeout 10s",15.725,1702066460.63949,916633193.149316,416885.31717866,39947.2132470542,1480.56035568478,33629.9702827327,20443.4160526376,1875795329.88821,362.265422987053,1010165543.08281,8226.28666082475,221.194446862505,2152803876.33099,81017.2585442011,106811.689550125,301.013135280412,2156326363.30213,83234.9548773039,6958511520.31954,48182.2179021614,137089.97780588,5761613346.21873,14776029480.9219,918058844.884313,6962592721.98735,43147.0153783975,38074053581.1071,732258.951558384,3792953.38782147,3535224626.80286,27933369428.2938,10332549132.073,6350553671.84098,6949284168.28667,6349283097.72627,6952516701.81856,2887394045.23968,2390912503.91257,21792.7498698248,14165.7157829176,43674.1699729466,26610.6500642289,43674.5685089887,12771.6852717993,53725.1363345534,3672.07886861066,32605.555350705,53765.0610573535,10660.3386955726,25432.3074681366,2096.35167531894,92819.5360552085,29931.2760395712,82294.3728740519,42194.7711365937,52456.0405892066
"stress-ng --cpu 2 --cpu-method int64double --timeout 10s",16.255,3191661189.51262,1591236242.55365,594380.816984875,39945.053120273,1067.60903359522,39368.6178634795,24322.2051318726,3454590607.07135,463.141548221048,1722297549.99767,8248.57184948227,22895.3429439048,2145342917.58702,677392.489567054,98218.3395358898,344.026345715086,2145159259.9885,547683.680124797,6954645281.30581,45009.5885495512,138799.139930043,6352222912.54073,19160230544.5716,1721145997.92187,6952477098.52193,43414.7560512801,38144834800.6236,299660876.776483,3759544.83935017,3486922629.74255,27897937008.0386,10371210936.6943,5759702493.43426,6953269909.80336,5758524813.59684,6952496862.71039,2885437856.35949,2390868262.96196,23818.0287709999,14570.1948919274,49220.0052358882,30330.661250901,49278.3726972383,18423.6991354791,43422.6665662048,3467.01857066208,33374.4997239356,52686.8462498619,9748.65315975718,22473.4447185181,2216.64405132071,80448.7442099339,37424.1867910751,99076.979266506,50365.0446494839,61585.22504102
"stress-ng --cpu 2 --cpu-method int64longdouble --timeout 10s",16.21,2471471157.15075,1076468873.52911,630795.282192963,47144.4303441412,1838.82576318936,39700.8397932648,24544.8192828249,2728446007.84701,604.270420531164,1188317770.30581,8289.8348316619,153435.187998007,2414340988.77045,21249913.6360982,115100.629335744,289.700229633755,2190689620.33298,19382140.2764605,6959580089.21374,48585.5233821768,147686.326204402,5761956899.09702,13877088294.7523,1077860468.30107,6960005954.26314,42460.7679397844,34531404765.5393,3653766812.16501,2506588974.49968,223737293.509712,27908412596.4718,10411823651.1807,5757857117.94457,6950849651.12942,5756231929.73666,6957605961.7594,2887137469.95402,2390649943.38419,23476.8647913157,15808.5651468799,49456.8495428037,28859.2586630524,49453.5624070809,14406.9182119869,40294.9394885211,2713.80404987551,23101.8023852243,37270.226458407,11505.3291067983,26639.563871741,2475.94252108712,99385.6016933243,38694.6264574688,97799.2168123493,50335.9794716853,59378.4693931994
"stress-ng --cpu 2 --cpu-method int32float --timeout 10s",15.15,1717166226.21579,924752290.411422,437512.013207463,43392.4670859505,1200.9630698647,37563.5333048597,24853.8542173994,1717235989.9014,387.641665745973,924793532.750021,8230.74905927465,22723.2428188375,2173269886.52004,132389.036658359,97310.2791046743,342.410157217785,2394144356.72343,97287.7950149645,6955986596.22963,46251.5461401988,139579.852271395,6353652386.32799,14285680040.7076,924297761.750108,6952515257.71424,42155.6597564768,34548056721.4851,837649.673672124,3727432.62853912,3502452831.95793,27885057748.4579,10399473673.7352,6358614212.00155,6956244233.3467,6357164287.16506,6954805326.18083,2886672124.06782,2389429385.95524,23102.8572216054,14702.424819524,46184.6513014411,27385.0927421119,46202.7810552499,12874.8147830569,42032.2433044276,2836.50792857971,25448.5014051572,40882.3830227276,10719.4807782232,25923.6697402699,2585.79115557564,96770.9399334812,31139.0298963168,82235.3589102069,42180.7748271068,51294.3018821348
"stress-ng --cpu 2 --cpu-method int32double --timeout 10s",16.1,3329265988.96853,1659834000.88009,704411.069126164,36169.4412964671,1856.33520644673,39487.6876460244,19020.9316424766,3131751827.96687,503.503169596695,1561370611.53436,8243.12578622877,4648.63756020789,2367708952.37176,600157.279949079,140736.158440502,340.570020133414,2267237384.84006,570973.889574355,6962015392.04779,46410.3096935574,149232.432119722,5763500446.83542,18904449683.7352,1723661592.40371,6955704711.3397,42857.3223233788,34525808561.0133,203725759.055247,3842522.39282087,2197167030.95732,27917094520.4583,10371556402.0609,6353207129.50339,6951287332.36846,6350594960.18126,6957882130.90374,2887678493.85746,2390139491.25037,21415.5137429651,13583.9391829148,48538.307368074,29764.640644515,48537.5108485399,17929.6547122542,38780.0022651253,2816.5566399708,25042.6890528011,40278.4335086154,10623.0682189401,24552.4174445611,2540.5718757446,89795.2399218853,34863.0187825061,95057.2510683386,47952.1794781823,60069.803982656
