"command","watt-median","L1-dcache-loads:u","L1-dcache-loads:u-square","L1-dcache-stores:u","L1-dcache-stores:u-square","L1-icache-loads:u","L1-icache-loads:u-square","L1-icache-load-misses:u","L1-icache-load-misses:u-square","dTLB-loads:u","dTLB-loads:u-square","dTLB-load-misses:u","dTLB-load-misses:u-square","dTLB-stores:u","dTLB-stores:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","branch-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","branch-misses:u-square","cache-misses:u","cache-misses:u-square","cache-references:u","cache-references:u-square","cpu-cycles:u-square","instructions:u","instructions:u-square","mem-loads:u","mem-loads:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","topdown-bad-spec:u","topdown-bad-spec:u-square","topdown-fe-bound:u","topdown-fe-bound:u-square","topdown-retiring:u","topdown-retiring:u-square"
"stress-ng --cpu 1 --cpu-method collatz --timeout 10s",7.17,10836665.504383,117433319253884,6327440.96175581,40036509124505.3,1745774274.27585,"3.047727816723371e+18",9629.97056628416,92736333.1074993,10819507.0283697,117061732336941,49.5731068205162,2457.49291983831,6317117.69179463,39905975931984.7,1454015153.1994,"2.1141600657334746e+18",224113.241166308,50226744866.0677,1447767815.81177,"2.096031648500383e+18",222884.267133717,49677396535.7341,957.022097335662,915891.294788749,1932.47631479963,3734464.70726156,"6.618005331332384e+18",6389216413.88311,"4.082208638343335e+19",0,0,6310148.90647772,39817979221922,3458038025.16254,21290179.6012012,453271747451404,6008637314.24154,"3.6103722374095786e+19",6415169754.31291,"4.1154402976651166e+19"
"stress-ng --cpu 1 --cpu-method correlate --timeout 10s",7.29,836833349.352448,"7.002900545884362e+17",1993674.94750094,3974739796292.88,446809435.885387,"1.9963867199621776e+17",10240.1614588056,104860906.702408,837006753.000558,"7.005803045685371e+17",49.9164154540083,2491.64853177716,1994259.64710379,3977071540066.53,422977338.151013,"1.789098285893164e+17",1003187.4479387,1006385055701.76,422538491.742411,"1.7853877700395155e+17",1002202.39579348,1004409642134.19,1077.98636114271,1162054.5948097,1998.58539284657,3994343.57249968,"6.61513004094514e+18",4668173816.51631,"2.179184678120845e+19",0,0,1993509.82828003,3974081435449.07,3462633847.51588,137487956.242237,"1.8902938111667276e+16",22134305.9531414,489927500027271,4681134612.19401,"2.191302125748076e+19"
"stress-ng --cpu 1 --cpu-method crc16 --timeout 10s",6.92,69202886.3834335,4789039483798407,502743.784271356,252751312623.484,417485732.344536,"1.7429433671125357e+17",11448.3434944958,131064568.767964,69098482.7960621,4774600324717690,50.2180189626774,2521.84942853583,502205.614697458,252210479433.652,69489790.3242595,4828830959309550,133438.028474677,17805707443.2087,69365394.3556045,4811557934108529,133182.878727046,17737679186.023,1085.29748541355,1177870.63184497,1998.60899343563,3994437.90864178,"6.585327572939411e+18",4555976060.64657,"2.075691786518464e+19",0,0,503569.942852848,253582687344.821,3466406145.34392,11368989.3384075,129253918576823,4562920.30599598,20820241718870.5,4563078337.91729,"2.0821683917970014e+19"
"stress-ng --cpu 1 --cpu-method dither --timeout 10s",8.25,1374240643.91114,"1.8885373473773046e+18",1194791882.93217,"1.4275276435206e+18",1156551171.16622,"1.337610611525955e+18",11520.0175680814,132710804.768904,1370836121.3279,"1.8791916715373207e+18",47.7354495008048,2278.67313904389,1191831999.96829,"1.4204635161484142e+18",1316708450.21974,"1.7337211428800694e+18",265597.380130065,70541968331.9543,1317504982.84193,"1.735819379813314e+18",265781.306279361,70639702767.5635,1087.95777462338,1183652.11936346,1982.65731842718,3930930.04231286,"6.60388879822426e+18",8750053918.35826,"7.656344357417673e+19",0,0,1163752934.45629,"1.354320892455626e+18",3454935338.95724,25735942.9970288,662338761946316,1464421239.30991,"2.144529566141973e+18",8972976400.08271,"8.051430547644128e+19"
"stress-ng --cpu 1 --cpu-method div8 --timeout 10s",6.96,173684.600501929,30166340451.5147,149544.094450532,22363436185.0296,500472661.69038,"2.5047288509945354e+17",10596.3182106029,112281959.620355,173240.604822305,30012307159.198,48.9544283803293,2396.53605804479,149155.611260988,22247396370.639,425750550.552609,"1.812635312958497e+17",1900322.84355172,3611226909724.5,426394221.67911,"1.8181203228133398e+17",1903572.60719584,3623588670866.37,1052.29143719664,1107317.26879737,2091.62724817771,4374904.54531946,"6.57718644234257e+18",2989913864.82568,"8.939584919076833e+18",0,0,148741.943588424,22124165782.4619,3462880707.42253,234088477.752785,"5.479741541661612e+16",31150785.1111217,970371413039281,4274716569.10609,"1.8273201746190141e+19"
"stress-ng --cpu 1 --cpu-method div16 --timeout 10s",6.97,173526.777732048,30111542590.0676,149513.202832325,22354197821.18,480979081.236775,"2.313408765873722e+17",10819.4419526411,117060324.16657,172790.657647571,29856611370.2801,47.0042724332338,2209.40162697766,148704.886458265,22113143256.5655,424561824.562342,"1.8025274287570486e+17",1895433.84886891,3592669475438.01,424259920.048178,"1.799964797592864e+17",1894153.50783463,3587817511242.23,1106.88674949646,1225198.27621084,1936.12725046895,3748588.73000846,"6.603788939867679e+18",2971076920.90924,"8.827298069959529e+18",0,0,148260.705122015,21981236683.2771,3450796675.40059,210127436.983453,"4.4153539773235016e+16",154568801.030328,"2.389151425195313e+16",4260134992.07863,"1.8148750150732788e+19"
"stress-ng --cpu 1 --cpu-method div32 --timeout 10s",6.95,173091.888639557,29960801912.8088,148806.726725503,22143441918.7585,479383900.890743,"2.2980892443322573e+17",10286.6988242988,105816172.70183,172949.735931707,29911611158.8472,57.7022592607039,3329.55072378949,148931.803901608,22180682213.387,423115148.710076,"1.790264290679497e+17",1889082.08499117,3568631123834.59,424537646.483491,"1.8023221328174157e+17",1896193.20609813,3595548674852.71,978.255934068902,956984.67254102,1930.50752649648,3726859.30985956,"6.575215754800738e+18",2974185686.06669,"8.845780495203987e+18",0,0,148903.11083038,22172136414.9644,3463832692.80327,199564133.504261,"3.9825843381306504e+16",193843836.802638,"3.757543306636775e+16",4249712965.48214,"1.8060060288987005e+19"
"stress-ng --cpu 1 --cpu-method div64 --timeout 10s",6.98,172773.4047048,29850649373.2886,148917.785509516,22176506841.0582,476249327.945307,"2.2681342236835658e+17",11530.876260539,132961107.335862,172979.208169554,29921806458.9659,50.258245251198,2525.89121572957,149086.892642473,22226901557.7883,420625186.963892,"1.769255479084091e+17",1878066.37095804,3527133293723.5,421212366.742669,"1.7741985789696067e+17",1880043.26393385,3534562674263.04,996.899273858378,993808.162219361,1852.61362003718,3432177.22514726,"6.580125575481141e+18",2953335107.10861,"8.722188254880226e+18",0,0,148800.368825453,22141549762.5909,3463121028.22237,191634741.672428,"3.6723874215858216e+16",216177092.056351,"4.6732535129940056e+16",4219073136.31755,"1.780057812959641e+19"
"stress-ng --cpu 1 --cpu-method div128 --timeout 10s",7.72,724535451.782386,"5.249516208895061e+17",232049488.770905,"5.384696523883836e+16",1683348898.33087,"2.833663513511753e+18",12782.4950472465,163392179.632881,722576139.883488,"5.221162779289221e+17",49.5390458903558,2454.11706772678,231422115.035083,"5.355619532731118e+16",1131365689.52329,"1.2799883234305093e+18",13735600.6441574,188666725055777,1129901221.33568,"1.2766767699758612e+18",13709885.0600263,187960948359132,1106.61185696451,1224589.80197444,1908.05790229701,3640684.95851807,"6.592043834101106e+18",7671464363.44945,"5.885136547967487e+19",0,0,227144638.457138,"5.159468677982394e+16",3453527278.97256,2215609320.68457,"4.908924661904341e+18",1493524323.12645,"2.230614903770321e+18",8098433139.15288,"6.558461930932956e+19"
"stress-ng --cpu 1 --cpu-method double --timeout 10s",7.7,1299027377.68732,"1.687472127981195e+18",420006403.011052,"1.7640537857028224e+17",862534758.309821,"7.439662092925814e+17",13303.9852768521,176996024.246697,1296929240.46286,"1.6820254547675712e+18",50.7197748977927,2572.49556568276,419328658.388912,"1.7583652374624486e+17",508112870.568064,"2.5817868923691814e+17",5844678.77979999,34160270039044.3,507351590.803731,"2.574056366910765e+17",5839824.25598275,34103547340764.5,1106.01693615658,1223273.46306519,1962.67204053906,3852081.53871376,"6.605381682942817e+18",4491145462.52812,"2.017038756558692e+19",0,0,417090154.13741,"1.7396419667836842e+17",3454908308.26896,1395644648.67847,"1.9478239853848497e+18",882184629.447176,"7.782497204328512e+17",4887117958.88207,"2.388392194402765e+19"
