"command","watt-median","L1-dcache-loads:u","dTLB-stores:u","dTLB-stores:u-square","dTLB-store-misses:u","dTLB-store-misses:u-square","iTLB-load-misses:u","iTLB-load-misses:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","L1-dcache-load-misses:u","L1-dcache-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","cpu-cycles:u","instructions:u","instructions:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","slots:u","topdown-br-mispredict:u"
"stress-ng --cpu 1 --cpu-method fibonacci --timeout 10s",8.44,218778684.008957,108932446.423317,"1.1866277883768828e+16",61.577379838767,3791.77370780779,313.694450958507,98404.2085621592,2636338495.82557,"6.950280664571829e+18",26630737.0333219,5182.58928862337,26859231.7345537,2140244045.1629,"4.5806445728552535e+18",21619789.2561236,2867564049.12094,8562348818.42588,"7.331381728839907e+19",108433720.328109,"1.1757871704194558e+16",3464966184.60958,17236461074.2785,3785066374.26886
"stress-ng --cpu 1 --cpu-method fft --timeout 10s",12.83,3929111550.48592,1717571313.92536,"2.9500512184192876e+18",298.618974365247,89173.2918509521,33294.0461204082,1108493507.06787,2124929385.6944,"4.5153248941875804e+18",995111.12996167,49073524.6697014,2408210823507790,2132531105.49975,"4.5476889159239854e+18",969180.925086351,3469284667.79613,16886800926.1668,"2.8516404551998787e+20",1712951815.5868,"2.9342039225221146e+18",3471114627.76497,20773589208.0416,163132670.295399
"stress-ng --cpu 1 --cpu-method fletcher16 --timeout 10s",8.465,341132225.821588,2060271.50651594,4244718680561.46,65.1280778049731,4241.66651857063,119.240168410479,14218.2177625594,319755562.986779,"1.0224362006099198e+17",595661.456693113,5363.7640578207,28769964.8679692,319679805.124528,"1.021951778044562e+17",595734.500965587,3468000550.11527,7635720250.7416,"5.830422374758536e+19",1922859.04358691,3697386901503.97,3472815988.43937,19356905964.3135,206664.153155309
"stress-ng --cpu 1 --cpu-method float --timeout 10s",9.345,1076136798.63782,227716713.519291,"5.1854901616026856e+16",62.783064763485,3941.71322109595,1344.52135252806,1807737.66740388,593700859.221583,"3.5248071024044595e+17",11166362.0282133,6383.64370517444,40750906.9546132,595243483.068672,"3.5431480413572435e+17",11313849.8342928,2866684073.15381,3194892997.97839,"1.0207341268531345e+19",227497983.115389,"5.1755332321569816e+16",3467327540.68984,17225804939.217,1823921645.25824
"stress-ng --cpu 1 --cpu-method gamma --timeout 10s",8.515,49909471.0270185,60096.0969539065,3611540869.09333,61.6157130636031,3796.49609633627,399.828953371443,159863.191954104,138250711.313486,"1.911325917868485e+16",2687.08745812004,5906.66710830644,34888716.3283492,138725538.612798,"1.924477506341091e+16",2789.30384932194,3460715706.16714,1497244702.38223,"2.2417416988116526e+18",60083.437673636,3610019482.6817,3466271464.57184,20815870692.5988,213310.24061625
"stress-ng --cpu 1 --cpu-method gray --timeout 10s",9.085,675914.83501879,280298.982135816,78567519386.3745,62.7907174857971,3942.67420238119,104.57672998027,10936.2924533663,362741383.891722,"1.3158131158768165e+17",62307.7780504875,6139.75782823239,37696626.1893409,360284975.305935,"1.298052634311982e+17",46079.964836429,3466565113.42925,10843441431.1069,"1.1758022206984564e+20",319864.839860584,102313515779.037,3462462973.88432,20802495625.3737,210829.477908706
"stress-ng --cpu 1 --cpu-method hamming --timeout 10s",9.59,348588770.245632,348142562.5643,"1.2120324386883754e+17",59.039627301051,3485.67759184701,594.777405402898,353760.161977803,772605366.924052,"5.969190529998491e+17",3347.12691984537,5253.89433791708,27603405.7139971,778754089.039751,"6.064579311961325e+17",4266.4243261042,3010826014.72405,17234950797.8404,"2.9704352900397944e+20",307826579.065289,"9.475720277903864e+16",3463981732.16909,20803890359.1705,206246.930285789
"stress-ng --cpu 1 --cpu-method hanoi --timeout 10s",10.55,2553565316.45535,2566093426.72204,"6.584835474666063e+18",63.081301731444,3979.25062813348,181.984342656263,33118.3009720322,2344675730.4679,"5.497504281045179e+18",71108.5031992206,5630.7758241495,31705636.3818265,2827393322.05339,"7.994152997592105e+18",100179.725440803,3461164677.37825,13332855080.8974,"1.777650246082116e+20",3085044771.24482,"9.517501240585005e+18",3469505922.97584,17220925642.4237,209861.338543154
"stress-ng --cpu 1 --cpu-method hyperbolic --timeout 10s",9.495,844605261.026065,343075563.681924,"1.1770084239566987e+17",56.8528999171061,3232.25222898448,4765.12731946966,22706438.3707561,698058790.57431,"4.872860750980683e+17",24443.754278519,9750.32745247449,95068885.4304777,697706307.553882,"4.867940916004722e+17",21976.3287972839,2873934594.72012,4602185895.67709,"2.1180115018369135e+19",343235803.15836,"1.1781081656976445e+17",3471132928.29477,17191615123.9219,1213610226.14413
"stress-ng --cpu 1 --cpu-method idct --timeout 10s",9.505,1691692967.44858,572406551.347089,"3.276492600250677e+17",63.1497953776956,3987.89665624482,6939.9279549509,48162600.019909,753287623.995632,"5.674422444649847e+17",1074894.60100683,7358.29764239823,54144544.1941234,750766560.655506,"5.636504285984976e+17",1069530.84057716,2872274828.06922,6403022700.61237,"4.099869970455732e+19",570962028.489598,"3.2599763797695654e+17",3461852154.84782,17233689136.8003,135364659.386753
"stress-ng --cpu 1 --cpu-method int128 --timeout 10s",8.525,191504930.521086,158384422.810158,"2.5085625388906904e+16",62.3982735975802,3893.54454795847,96.5648239942047,9324.76523303173,48017880.2791801,2305716826505670,49734.2829568195,4151.08506231277,17231507.1945562,39857648.8320838,1588632170421711,41512.7384806432,2861638799.06576,8918058927.05547,"7.953177502643375e+19",158475488.541565,"2.51144804684877e+16",3469029619.51743,20771277753.4197,207197.690424283
"stress-ng --cpu 1 --cpu-method int64 --timeout 10s",8.425,2068261.86626828,1690810.81603513,2858841215621.38,61.9191981021705,3833.98709361583,167.232614106367,27966.7472208491,103355726.781553,"1.0682406258543032e+16",104464.705043418,4062.1132551371,16500764.0975605,124727401.106709,"1.5556924586833874e+16",125753.775645679,2874041361.64459,8700813050.04079,"7.570414773176012e+19",1691645.00891164,2861662836175.66,3466491313.37675,17253667801.7618,212615.511276132
