"command","watt-median","L1-dcache-loads:u","dTLB-stores:u","dTLB-stores:u-square","dTLB-store-misses:u","dTLB-store-misses:u-square","iTLB-load-misses:u","iTLB-load-misses:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","L1-dcache-load-misses:u","L1-dcache-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","cpu-cycles:u","instructions:u","instructions:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","slots:u","topdown-br-mispredict:u"
"stress-ng --cpu 1 --cpu-method jmp --timeout 10s",8.64,1432777607.90408,2869179277.03465,"8.232189723765076e+18",55.4195430916482,3071.32575648705,499.190979742315,249191.634256092,2266610687.73477,"5.137524009753486e+18",121488.862914075,4552.90254569709,20728921.590615,2275206969.29445,"5.176566753126035e+18",121848.614314148,2868530951.0768,12538822608.9289,"1.5722207241818653e+20",2865979475.10338,"8.213838351713846e+18",3462690207.76686,17221984359.9398,206730.470785815
"stress-ng --cpu 1 --cpu-method lfsr32 --timeout 10s",7.52,521731.89135743,356025.124301607,126753889133.975,64.6316436968704,4177.24936695921,123.745659214266,15312.9881743733,88205549.9940674,7780219049755924,45097.1337262261,4524.64021778319,20472369.1003811,88344481.3383273,7804747382938061,45025.0492776509,2867614894.4554,4400122815.2237,"1.9361080789052133e+19",356412.520233253,127029884579.019,3468443474.43361,17199454946.5609,207203.173983144
"stress-ng --cpu 1 --cpu-method ln2 --timeout 10s",8.47,635833634.343703,636476640.07359,"4.051025133593663e+17",60.2176693679042,3626.16770410223,150.925709036443,22778.5696481531,159995500.043859,"2.559856003428449e+16",102449.553381683,5459.37373114805,29804761.5363494,159624127.869175,"2.547986219799473e+16",102306.418911619,2872798242.87299,3814096400.24042,"1.454733135032693e+19",635679838.672954,"4.0408885729527277e+17",3464882154.14503,17235478612.1149,211560.889100479
"stress-ng --cpu 1 --cpu-method logmap --timeout 10s",7.465,325881.734024467,191953.489163463,36846142002.0277,58.7536979142754,3451.99701860193,114.839196562425,13188.0410671033,39925859.0467548,1594074220621332,21699.6434448298,5803.89747284154,33685225.8752564,39993221.0870257,1599457732915720,21481.4092769185,2869597795.81252,1947869370.33306,"3.7941950838817116e+18",191534.295684686,36685386423.4287,3465389821.20353,17246610050.7546,207811.400383746
"stress-ng --cpu 1 --cpu-method longdouble --timeout 10s",9.585,1317187964.13664,562162388.952134,"3.160265515523704e+17",97.9279534467311,9589.88406626513,1261.88089828458,1592343.4014555,1013374377.08882,"1.0269276281401539e+18",2542155.41663075,23403.4524463719,547721586.409591,1015086775.47255,"1.0304011617392593e+18",2561993.05968756,2863388374.34865,6479775906.25898,"4.198749579533438e+19",562083327.947937,"3.159376675570281e+17",3467818903.6495,17197141768.6813,876831343.89251
"stress-ng --cpu 1 --cpu-method loop --timeout 10s",8.425,1882856810.01516,781479018.990958,"6.107094571230701e+17",62.4867570273342,3904.5948037931,141.284928907744,19961.4311364663,392223784.574712,"1.5383949718611008e+17",25970.7094242071,4053.71862186269,16432634.6652363,391947164.213269,"1.5362257953482326e+17",26044.4269519304,2865617070.00331,3924069544.0273,"1.5398321786362622e+19",784807942.451509,"6.15923506534971e+17",3469199697.88475,17197521310.8179,208924.094581498
"stress-ng --cpu 1 --cpu-method matrixprod --timeout 10s",11.23,1864933136.36394,34221195.9931941,1171090255204600,199.982139179133,39992.8559906621,285.576941131036,81554.1893057592,935198413.954859,"8.745960734636838e+17",7244413.94936218,919508225.277957,"8.454953763538181e+17",926656567.236221,"8.586923936020169e+17",7178360.55473092,3466935613.62407,7322279957.79747,"5.361578378036252e+19",34191274.5808501,1169043257463090,3461299345.38647,19799346747.6318,543667157.8011
"stress-ng --cpu 1 --cpu-method nsqrt --timeout 10s",8.475,6870189.14514951,6360189.4501381,40452009841648,64.0512314504241,4102.5602503158,150.446064815429,22634.0184184483,974025540.746815,"9.487257540271252e+17",17536.9880708744,5451.33136082785,29717013.6055452,977970232.796813,"9.564257762366527e+17",20611.4492952014,3457823244.47784,6324153058.2571,"3.9994911904262636e+19",7668473.56482143,58805486814365.1,3470925047.01741,17206568973.2208,209631.431461909
"stress-ng --cpu 1 --cpu-method omega --timeout 10s",8.47,136334920.971402,77906511.0834077,6069424469189127,56.760944343248,3221.8048027373,371.250600020116,137827.008015296,145160960.976651,"2.10717045916648e+16",68223.6588749762,5844.01351201523,34152493.9286166,144913177.371421,"2.099982897588093e+16",68889.2380494518,2871256424.41179,1058803269.24034,"1.1210643629540319e+18",72068024.3842965,5193800138655556,3458854278.31557,17216785319.0167,675303555.69783
"stress-ng --cpu 1 --cpu-method parity --timeout 10s",8.56,479704.015520427,277906.061135616,77231778815.9127,58.936461594926,3473.50650533019,92.8620585943824,8623.36192638651,1885852225.70937,"3.5564386172129843e+18",7302377.20988596,3970.70776181662,15766520.1297508,1839897378.14432,"3.3852223621023427e+18",6596841.1109728,2863531307.11733,8688210627.00072,"7.548500389912823e+19",288495.048569662,83229393049.2116,3465070957.999,17203675534.0343,1025223818.08552
