\,watt-median,L1-dcache-loads:u,L1-dcache-loads:u-square,L1-dcache-stores:u,L1-dcache-stores:u-square,L1-icache-loads:u,L1-icache-loads:u-square,L1-icache-load-misses:u,L1-icache-load-misses:u-square,LLC-loads:u,LLC-loads:u-square,LLC-load-misses:u,LLC-load-misses:u-square,LLC-stores:u,LLC-stores:u-square,dTLB-loads:u,dTLB-loads:u-square,dTLB-load-misses:u,dTLB-load-misses:u-square,dTLB-stores:u,dTLB-stores:u-square,dTLB-store-misses:u,dTLB-store-misses:u-square,iTLB-load-misses:u,iTLB-load-misses:u-square,branch-loads:u,branch-loads:u-square,branch-load-misses:u,branch-load-misses:u-square,branch-instructions:u,branch-instructions:u-square,branch-misses:u,branch-misses:u-square,bus-cycles:u,bus-cycles:u-square,cache-misses:u,cache-misses:u-square,cache-references:u,cache-references:u-square,cpu-cycles:u,cpu-cycles:u-square,instructions:u,instructions:u-square,mem-loads:u,mem-loads:u-square,mem-stores:u,mem-stores:u-square,ref-cycles:u,ref-cycles:u-square,topdown-bad-spec:u,topdown-bad-spec:u-square,topdown-be-bound:u,topdown-be-bound:u-square,topdown-fe-bound:u,topdown-fe-bound:u-square,topdown-retiring:u,topdown-retiring:u-square
sleep 10s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_up_benchmark,8.45,1508972524.93054,2.2769980809952494e+18,606689055.155805,3.680716096458434e+17,1436276413.90358,2.0628899371357276e+18,2813353.83466992,7914959799051.944,975316.212133882,951241713651.1835,215.011992068087,46230.15673308711,1011442.76955373,1023016476082.5198,1507873891.89837,2.2736836738687373e+18,122467.97295908,14998404400.70595,606249902.294804,3.675389440324594e+17,68299.5068124543,4664822630.8244915,386327.531590066,149248961664.47342,1846398925.27912,3.4091889912718894e+18,7169865.43876096,51406970409938.89,1861188602.20697,3.4640230129851346e+18,6650407.16976734,44227915523692.836,3082646611.71206,9.502710132699845e+18,513840.07548725,264031623176.74277,11080622.0573261,122780185177301.7,2285596947.24613,5.223953405260829e+18,7169134565.17659,5.139649041360973e+19,0.0,0.0,599634385.207524,3.595613959232052e+17,3096515594.75826,9.5884088285811e+18,836142777.294954,6.991347440225189e+17,1238928990.17494,1.5349450426958968e+18,2035314322.84507,4.1425043927782856e+18,7357896065.85719,5.413863451595672e+19
stress-ng --cpu 1 --cpu-method all --timeout 10s,7.26,617499357.96828,3.8130545709123795e+17,278841173.608765,7.775240009951342e+16,812316961.58384,6.598588460768018e+17,554350.681632371,307304678226.2744,400.366296837927,160293.17164371506,1.48850153798312,2.215636828578113,3340.8725323775,11161429.27759445,622136071.25108,3.8705329115172896e+17,111.108678648549,12345.138471026528,280926718.572061,7.891982120766597e+16,138.149234382694,19085.210960524524,21186.2378040802,448856672.291037,513974646.286917,2.641699370257614e+17,7748083.94553411,60032804827043.42,513613265.874392,2.6379858688215885e+17,7754426.1766672,60131125329381.49,3457256831.13724,1.195262479644511e+19,3078.66378484626,9478170.700123899,23600.6987977405,556992983.7416699,2566103270.30009,6.584885993844816e+18,4672687860.67387,2.183401184328895e+19,5695649.45329685,32440422694840.71,278286762.585301,7.744352223020768e+16,3453882243.75458,1.1929302553723173e+19,1079781109.9322,1.1659272453664136e+18,5642234295.99556,3.183480785090851e+19,1106342321.88842,1.2239933332014605e+18,4973468491.07335,2.4735388831699423e+19
stress-ng --cpu 1 --cpu-method ackermann --timeout 10s,7.68,1036648776.35502,1.0746406855183603e+18,1036637846.28643,1.074618024353368e+18,2244482528.05224,5.037701818731774e+18,11930.4074675887,142334622.34269622,151.300356153216,22891.797772090005,0.0,0.0,-2.59805927492024,-2.59805927492024,1037553170.49641,1.0765165816071525e+18,48.9721205442811,2398.2685906035986,1037542249.11325,1.0764939186949814e+18,7.44975559466581,55.49885842025453,7891.76933247478,62280023.19698943,2730000858.0265,7.452904684825427e+18,4342816.80284119,18860057783039.777,2736839574.56581,7.490290856909565e+18,4353649.35118143,18954262673042.484,3456757267.52706,1.1949170806601146e+19,1041.30148787939,1084308.7886598313,1897.41070413596,3600167.3801697195,2565704915.71249,6.582841714511236e+18,10193514718.9396,1.0390774232523827e+20,0.0,0.0,1036512077.15366,1.074357286085395e+18,3462589057.61333,1.1989522981903569e+19,459165971.880091,2.1083338973258854e+17,1538322812.76145,2.366437076262299e+18,380507135.857244,1.4478568043828317e+17,10502048945.0368,1.1029303204394857e+20
stress-ng --cpu 1 --cpu-method apery --timeout 10s,7.0,183049758.449577,3.350721406844849e+16,183031367.534737,3.3500481501635976e+16,183202647.368183,3.3563210002710804e+16,9597.91673375961,92120005.62818274,189.327388154763,35844.8599055043,0.0,0.0,-1.80547162414914,-1.80547162414914,182719388.736978,3.338637502041488e+16,46.7935435502572,2189.635717989817,182700776.196092,3.33795736226545e+16,7.64980363381646,58.519495635951515,5377.28836788823,28915230.191426065,365939850.632466,1.3391197428091154e+17,6718.84658516131,45142899.4349338,365451547.552766,1.335548336087116e+17,6350.03862181791,40322990.4985791,3461813819.14919,1.19841549184523e+19,1050.38984307981,1103318.8224452278,1959.34463371789,3839031.3936790926,2569326690.28381,6.601439641404758e+18,3464874829.91059,1.200535758694794e+19,47875783.9788549,2292090691589979.5,182452366.836254,3.3288866164151e+16,3453619776.28666,1.1927489559158321e+19,1524337.8989431,2323606030154.264,8736575330.75981,7.632774851004087e+19,93566468.5528268,8754684037447128.0,4028856654.46826,1.6231685942253179e+19
stress-ng --cpu 1 --cpu-method bitops --timeout 10s,7.21,163894.904599464,26861539753.667408,131354.964861686,17254126793.814762,1649302163.79765,2.7201976275076106e+18,10401.4108467285,108189347.6024413,131.399165023134,17265.740568776804,0.198513734957369,0.039407702966724543,14.3737472993197,206.60461142470035,163785.390192086,26825654040.37386,50.6017283657126,2560.5349135973634,131319.67167607,17244856169.11082,7.44070328665617,55.36406540005593,6764.15747981549,45753826.411743835,1540756524.22041,2.3739306669277594e+18,64253.9988454516,4128576367.631295,1538236282.57999,2.3661708610455066e+18,64550.8194775755,4166808295.22654,3466850054.59923,1.2019049301074682e+19,1087.40649989468,1182452.896013199,1908.81057843871,3643557.824359523,2573271397.26244,6.621725683968991e+18,11759413807.7954,1.3828381310296913e+20,0.0,0.0,131432.45238974,17274489541.181274,3457040078.95497,1.1951126107500984e+19,8212062.47637649,67437970115910.766,971866700.110174,9.445248827830387e+17,92251359.2223688,8510313278374530.0,11792745327.6068,1.3906884236179202e+20
stress-ng --cpu 1 --cpu-method callfunc --timeout 10s,7.76,1388479916.21412,1.9278764777299694e+18,936756061.968939,8.775119196355546e+17,1011105240.07877,1.0223338065147473e+18,11282.9759097855,127305545.38079993,157.67957780953,24862.849258191625,0.0,0.0,9.12240674851209,83.2183048852989,1387381029.82958,1.9248261219309862e+18,49.3401122009729,2434.4466720045943,936014916.490442,8.761239238926092e+17,7.24652927148241,52.51218648245138,9235.23790948727,85289619.2448308,2911330850.29169,8.475847319860134e+18,3437598.83681777,11817085762890.885,2917012117.68732,8.508959694734665e+18,3441322.39367533,11842699817211.303,3464646921.52447,1.2003778290828986e+19,1098.11156114655,1205849.0007237133,2065.56204618517,4266546.566640666,2571579631.29314,6.613021800081761e+18,8480509032.25717,7.191903344619544e+19,0.0,0.0,937115844.994894,8.781861069404942e+17,3467431142.69999,1.2023078729365758e+19,410577896.944686,1.6857420945952118e+17,2347830555.69242,5.512308318242978e+18,1174633090.62344,1.3797628975875748e+18,8943504826.18844,7.998627857605593e+19
stress-ng --cpu 1 --cpu-method cdouble --timeout 10s,7.95,1689133415.64353,2.853171695843578e+18,742668762.515614,5.5155689081647354e+17,1334509938.86714,1.780916776935178e+18,13132.2532089888,172456074.34499666,1.59874070994948,2.555971857649767,0.198760938108273,0.03950591051768073,36.9565980739446,1365.7901411990856,1690727461.52717,2.858559349162108e+18,50.1415906620521,2514.1791141207905,743313343.463145,5.5251472657035936e+17,7.54557923596946,56.93576600629346,16059.1148809578,257895170.7598003,1063989736.46288,1.1320741592983489e+18,5893118.44372222,34728844991739.0,1064098480.48649,1.132305576173657e+18,5912756.76529266,34960692565514.125,3466496164.56257,1.201659565892701e+19,1138.19878116084,1295496.465436022,1986.93647681946,3947916.562915729,2573041367.25957,6.620541877628998e+18,6923144641.09195,4.792993172148019e+19,0.0,0.0,742662705.342621,5.515478939068207e+17,3462301133.94037,1.1987529142084772e+19,1170837850.5787,1.3708612723477504e+18,3304548190.16667,1.0920038741133814e+19,1109892496.90088,1.2318613546768701e+18,7292249369.89561,5.317690087274292e+19
stress-ng --cpu 1 --cpu-method cfloat --timeout 10s,6.98,410322817.759193,1.683648147738439e+17,225457821.206833,5.083122914333228e+16,493792197.332616,2.4383073414657315e+17,14140.907766586,199965272.46309227,211.56185701589,44758.41934401189,0.0,0.0,11.1212566836632,123.6823502239234,409933283.158971,1.6804529664149312e+17,49.6511720145644,2465.2388824198633,225202855.613355,5.0716326176409624e+16,8.14268712969857,66.30335369215875,15320.0958430558,234705336.6404156,281296848.927466,7.912791721652162e+16,1505476.77966233,2266460334102.4595,281572512.543939,7.928307982030669e+16,1462145.2013028,2137868589692.806,3462958585.04777,1.1992082161756054e+19,1032.45427529045,1065961.8305655282,1931.61645503711,3731142.1293701315,2570067529.28219,6.60524710507066e+18,1706695385.29564,2.912809138189433e+18,0.0,0.0,224860711.485631,5.0562339569824184e+16,3464450327.14073,1.200241606922551e+19,1003530351.87242,1.007073167129183e+18,6944616512.91005,4.8227698511382946e+19,2374416806.93482,5.637855173054547e+18,2566023407.71134,6.584476128922518e+18
stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s,7.06,631385602.863104,3.9864777950280525e+17,298641411.751878,8.918669281315475e+16,602602642.363415,3.6312994458336986e+17,16802.0188089803,282307836.0573278,95.2026161982036,9063.538130982459,0.0,0.0,13.1945494561899,174.09613535184118,633429840.992471,4.012333634597471e+17,51.9543079020802,2699.2501095841535,299601506.621126,8.97610627696486e+16,7.54924830809943,56.99115001734211,17405.0979177127,302937433.525167,444510605.439856,1.9758967834850733e+17,2790805.50792633,7788595383071.94,445492128.084426,1.9846323618519062e+17,2800966.42015461,7845412886833.732,3454548929.2303,1.1933908304446212e+19,1080.86800495053,1168275.6441257386,1972.73885053693,3891698.5724177677,2564081782.25084,6.574515386070645e+18,2951702213.38578,8.712545956506512e+18,12486294.6641381,155907554439683.56,299422193.72085,8.965365009260622e+16,3465339978.88143,1.200858116923395e+19,784180401.996763,6.149389028758048e+17,6701150853.96141,4.490542276754773e+19,1987221425.36183,3.9490489934171034e+18,3404806512.55532,1.159270738793912e+19
stress-ng --cpu 1 --cpu-method collatz --timeout 10s,7.17,10836665.504383,117433319253884.45,6327440.96175581,40036509124505.3,1745774274.27585,3.047727816723371e+18,9629.97056628416,92736333.10749927,251.575558627825,63290.261698902206,0.0,0.0,-3.88972426112724,-3.88972426112724,10819507.0283697,117061732336941.34,49.5731068205162,2457.49291983831,6317117.69179463,39905975931984.72,7.83213204552848,61.34229237859414,4655.57562106449,21674384.363450017,1454015153.1994,2.1141600657334746e+18,224113.241166308,50226744866.06773,1447767815.81177,2.096031648500383e+18,222884.267133717,49677396535.734116,3465864611.12391,1.201221750264109e+19,957.022097335662,915891.2947887493,1932.47631479963,3734464.7072615586,2572548411.85397,6.618005331332384e+18,6389216413.88311,4.082208638343335e+19,0.0,0.0,6310148.90647772,39817979221921.96,3458038025.16254,1.195802698347004e+19,21290179.6012012,453271747451403.6,450009219.591536,2.0250829771738326e+17,6008637314.24154,3.6103722374095786e+19,6415169754.31291,4.1154402976651166e+19
stress-ng --cpu 1 --cpu-method correlate --timeout 10s,7.29,836833349.352448,7.002900545884362e+17,1993674.94750094,3974739796292.8755,446809435.885387,1.9963867199621776e+17,10240.1614588056,104860906.70240763,227.16043316406,51601.86239528337,0.0,0.0,11.8813261431495,141.16591091988778,837006753.000558,7.005803045685371e+17,49.9164154540083,2491.648531777159,1994259.64710379,3977071540066.5327,9.62684335197595,92.67611292348354,5302.71761429724,28118814.096978217,422977338.151013,1.789098285893164e+17,1003187.4479387,1006385055701.7618,422538491.742411,1.7853877700395155e+17,1002202.39579348,1004409642134.1912,3465140158.31342,1.2007196316756353e+19,1077.98636114271,1162054.594809701,1998.58539284657,3994343.572499678,2571989510.27121,6.61513004094514e+18,4668173816.51631,2.179184678120845e+19,0.0,0.0,1993509.82828003,3974081435449.0747,3462633847.51588,1.1989833161962627e+19,137487956.242237,1.8902938111667276e+16,8038668012.1873,6.462018341016331e+19,22134305.9531414,489927500027270.75,4681134612.19401,2.191302125748076e+19
stress-ng --cpu 1 --cpu-method crc16 --timeout 10s,6.92,69202886.3834335,4789039483798407.0,502743.784271356,252751312623.48376,417485732.344536,1.7429433671125357e+17,11448.3434944958,131064568.76796432,113.025803059636,12774.832157275623,0.894098143572196,0.7994114903392472,7.93297225020572,62.932048722534,69098482.7960621,4774600324717690.0,50.2180189626774,2521.8494285358265,502205.614697458,252210479433.65164,6.94620554638499,48.24977149262959,5630.03088970133,31697247.81899115,69489790.3242595,4828830959309550.0,133438.028474677,17805707443.20871,69365394.3556045,4811557934108529.0,133182.878727046,17737679186.023037,3457125485.0822,1.1951716619604836e+19,1085.29748541355,1177870.6318449748,1998.60899343563,3994437.908641782,2566189309.64561,6.585327572939411e+18,4555976060.64657,2.075691786518464e+19,0.0,0.0,503569.942852848,253582687344.8206,3466406145.34392,1.2015971564478095e+19,11368989.3384075,129253918576823.39,8304488741.69969,6.89645332610169e+19,4562920.30599598,20820241718870.45,4563078337.91729,2.0821683917970014e+19
stress-ng --cpu 1 --cpu-method dither --timeout 10s,8.25,1374240643.91114,1.8885373473773046e+18,1194791882.93217,1.4275276435206e+18,1156551171.16622,1.337610611525955e+18,11520.0175680814,132710804.76890412,-26.4530729061971,-26.4530729061971,2.18852765536305,4.78965329828889,51.2229191603381,2623.787447306532,1370836121.3279,1.8791916715373207e+18,47.7354495008048,2278.673139043885,1191831999.96829,1.4204635161484142e+18,38.3277803255794,1469.018744685871,4510.17208549104,20341652.240742598,1316708450.21974,1.7337211428800694e+18,265597.380130065,70541968331.95425,1317504982.84193,1.735819379813314e+18,265781.306279361,70639702767.5635,3462256410.76729,1.1987219453899198e+19,1087.95777462338,1183652.1193634572,1982.65731842718,3930930.042312856,2569803260.60659,6.60388879822426e+18,8750053918.35826,7.656344357417673e+19,0.0,0.0,1163752934.45629,1.354320892455626e+18,3454935338.95724,1.1936578196375579e+19,25735942.9970288,662338761946315.9,2391374239.30567,5.718670752414771e+18,1464421239.30991,2.144529566141973e+18,8972976400.08271,8.051430547644128e+19
stress-ng --cpu 1 --cpu-method div8 --timeout 10s,6.96,173684.600501929,30166340451.514675,149544.094450532,22363436185.029633,500472661.69038,2.5047288509945354e+17,10596.3182106029,112281959.62035464,24.66108027929,608.1688805415862,0.0,0.0,40.4014148930923,1632.2743253637805,173240.604822305,30012307159.198048,48.9544283803293,2396.5360580447905,149155.611260988,22247396370.63897,7.43159877835744,55.2286604024838,1886.52261794107,3558967.588003228,425750550.552609,1.812635312958497e+17,1900322.84355172,3611226909724.495,426394221.67911,1.8181203228133398e+17,1903572.60719584,3623588670866.3677,3455252443.69707,1.1938769449674574e+19,1052.29143719664,1107317.26879737,2091.62724817771,4374904.545319459,2564602589.55312,6.57718644234257e+18,2989913864.82568,8.939584919076833e+18,0.0,0.0,148741.943588424,22124165782.46191,3462880707.42253,1.1991542793839163e+19,234088477.752785,5.479741541661612e+16,8344430182.58145,6.96295150719763e+19,31150785.1111217,970371413039281.4,4274716569.10609,1.8273201746190141e+19
stress-ng --cpu 1 --cpu-method div16 --timeout 10s,6.97,173526.777732048,30111542590.067593,149513.202832325,22354197821.17996,480979081.236775,2.313408765873722e+17,10819.4419526411,117060324.16657026,160.830988894988,25866.60698893975,1.78901787283961,3.200584949339563,4.9569812516898,24.57166312960418,172790.657647571,29856611370.280087,47.0042724332338,2209.401626977663,148704.886458265,22113143256.56549,6.85644387816834,47.01082265447211,5802.56234488766,33669729.76630818,424561824.562342,1.8025274287570486e+17,1895433.84886891,3592669475438.01,424259920.048178,1.799964797592864e+17,1894153.50783463,3587817511242.234,3462235306.2742,1.1987073316011604e+19,1106.88674949646,1225198.276210839,1936.12725046895,3748588.7300084564,2569783831.34996,6.603788939867679e+18,2971076920.90924,8.827298069959529e+18,0.0,0.0,148260.705122015,21981236683.277084,3450796675.40059,1.1907997694955764e+19,210127436.983453,4.4153539773235016e+16,8233253267.78537,6.778645937149847e+19,154568801.030328,2.389151425195313e+16,4260134992.07863,1.8148750150732788e+19
stress-ng --cpu 1 --cpu-method div32 --timeout 10s,6.95,173091.888639557,29960801912.808804,148806.726725503,22143441918.758526,479383900.890743,2.2980892443322573e+17,10286.6988242988,105816172.70183033,34.643844258997,1200.1959450416393,0.0,0.0,36.5141402444125,1333.2824377886247,172949.735931707,29911611158.84718,57.7022592607039,3329.5507237894885,148931.803901608,22180682213.387016,7.44765732255872,55.467599594262516,5994.35339931049,35932272.67582523,423115148.710076,1.790264290679497e+17,1889082.08499117,3568631123834.5864,424537646.483491,1.8023221328174157e+17,1896193.20609813,3595548674852.705,3454695302.44206,1.1934919632715237e+19,978.255934068902,956984.6725410199,1930.50752649648,3726859.3098595575,2564218351.62311,6.575215754800738e+18,2974185686.06669,8.845780495203987e+18,0.0,0.0,148903.11083038,22172136414.964428,3463832692.80327,1.1998136923732752e+19,199564133.504261,3.9825843381306504e+16,8238053768.11381,6.786552988633414e+19,193843836.802638,3.757543306636775e+16,4249712965.48214,1.8060060288987005e+19
stress-ng --cpu 1 --cpu-method div64 --timeout 10s,6.98,172773.4047048,29850649373.288605,148917.785509516,22176506841.058212,476249327.945307,2.2681342236835658e+17,11530.876260539,132961107.33586188,115.619462572394,13367.860125529216,0.0,0.0,-0.215007602634699,-0.215007602634699,172979.208169554,29921806458.9659,50.258245251198,2525.8912157295663,149086.892642473,22226901557.788265,7.64761239907693,58.4859754065152,5935.78527501896,35233546.83113191,420625186.963892,1.769255479084091e+17,1878066.37095804,3527133293723.5024,421212366.742669,1.7741985789696067e+17,1880043.26393385,3534562674263.044,3456021782.31393,1.1944086559828353e+19,996.899273858378,993808.1622193614,1852.61362003718,3432177.2251472645,2565175544.76904,6.580125575481141e+18,2953335107.10861,8.722188254880226e+18,0.0,0.0,148800.368825453,22141549762.59085,3463121028.22237,1.1993207256115966e+19,191634741.672428,3.6723874215858216e+16,8253803471.35254,6.812527174371124e+19,216177092.056351,4.6732535129940056e+16,4219073136.31755,1.780057812959641e+19
stress-ng --cpu 1 --cpu-method div128 --timeout 10s,7.72,724535451.782386,5.249516208895061e+17,232049488.770905,5.384696523883836e+16,1683348898.33087,2.833663513511753e+18,12782.4950472465,163392179.6328813,143.490199115141,20589.43724210281,0.0,0.0,-1.80204728093032,-1.80204728093032,722576139.883488,5.221162779289221e+17,49.5390458903558,2454.117067726778,231422115.035083,5.355619532731118e+16,7.24656929766407,52.51276658584754,6040.00839059073,36481701.358406425,1131365689.52329,1.2799883234305093e+18,13735600.6441574,188666725055777.2,1129901221.33568,1.2766767699758612e+18,13709885.0600263,187960948359132.3,3459604562.27938,1.19688637273443e+19,1106.61185696451,1224589.8019744412,1908.05790229701,3640684.9585180664,2567497582.10229,6.592043834101106e+18,7671464363.44945,5.885136547967487e+19,0.0,0.0,227144638.457138,5.159468677982394e+16,3453527278.97256,1.1926850666607614e+19,2215609320.68457,4.908924661904341e+18,1203472454.10829,1.44834594779743e+18,1493524323.12645,2.230614903770321e+18,8098433139.15288,6.558461930932956e+19
stress-ng --cpu 1 --cpu-method double --timeout 10s,7.7,1299027377.68732,1.687472127981195e+18,420006403.011052,1.7640537857028224e+17,862534758.309821,7.439662092925814e+17,13303.9852768521,176996024.24669743,86.1525855693213,7422.268000279229,0.0,0.0,2.17630698225951,4.736312081031495,1296929240.46286,1.6820254547675712e+18,50.7197748977927,2572.495565682763,419328658.388912,1.7583652374624486e+17,7.14558486052572,51.05938299897438,8355.52778531937,69814844.571244,508112870.568064,2.5817868923691814e+17,5844678.77979999,34160270039044.305,507351590.803731,2.574056366910765e+17,5839824.25598275,34103547340764.48,3462570747.0213,1.1989396178127643e+19,1106.01693615658,1223273.4630651884,1962.67204053906,3852081.5387137574,2570093710.92628,6.605381682942817e+18,4491145462.52812,2.017038756558692e+19,0.0,0.0,417090154.13741,1.7396419667836842e+17,3454908308.26896,1.1936391418545887e+19,1395644648.67847,1.9478239853848497e+18,5697543664.41536,3.246200380791961e+19,882184629.447176,7.782497204328512e+17,4887117958.88207,2.388392194402765e+19
stress-ng --cpu 1 --cpu-method euler --timeout 10s,7.09,431910749.473381,1.8654689551065766e+17,364441071.967488,1.3281729493681176e+17,364576186.160167,1.3291579551509274e+17,12409.3222929603,153991279.7705615,81.2801874420994,6606.4688706228135,0.695199921198392,0.4833029304342505,27.6927674024095,766.8893664039542,431618888.983919,1.862948653277126e+17,51.9453169761467,2698.3159557523545,364194812.120455,1.3263786117545354e+17,7.53305072091225,56.74685316383657,5583.77969982662,31178595.736195862,660400566.95123,4.361289088295061e+17,3811.91490036041,14530695.207589712,661005514.5026,4.3692829020284685e+17,3964.54168401483,15717590.764291145,3454163129.57568,1.1931242925720054e+19,1051.61393275611,1105891.8635667723,2032.56038611993,4131301.7232239987,2563794074.13989,6.573040054594817e+18,4516000619.9564,2.039426159944659e+19,82594090.8993766,6821783851494485.0,365127638.020882,1.3331819204670824e+17,3468511548.37352,1.2030572361200472e+19,1192800.44598665,1422772903945.951,8254701823.76492,6.81401021992679e+19,55913153.5844716,3126280743760709.0,4574774448.62092,2.0928561255754846e+19
stress-ng --cpu 1 --cpu-method explog --timeout 10s,7.02,806712233.751538,6.507846280843962e+17,166168640.302377,2.7612017019940744e+16,545857453.346283,2.979603593736895e+17,12326.410682868,151940400.32272235,94.3495613114601,8901.83971966497,0.0,0.0,-3.19357927465906,-3.19357927465906,807426484.998388,6.519375286768522e+17,50.815072582995,2582.1716016150503,166315548.497525,2.766086167203259e+16,7.44292919931572,55.39719506602654,7167.08823861662,51367153.82011669,475118480.530375,2.2573757054149232e+17,2901.86965427493,8420847.4904017,475028394.151239,2.2565197524990486e+17,2657.97619021979,7064837.42777531,3465636493.92113,1.2010636307997944e+19,1144.58938197841,1310084.8533377186,1987.29745450206,3949351.172670367,2572427676.31711,6.617384149882246e+18,3016048278.10603,9.096547215866349e+18,0.0,0.0,166314293.170826,2.7660444112911456e+16,3463866146.97508,1.1998368684159986e+19,779231.377599849,607201539836.1584,9619620909.61431,9.253710644468883e+19,169219535.997034,2.8635251363051492e+16,3097558825.4728,9.594870677264431e+18
stress-ng --cpu 1 --cpu-method factorial --timeout 10s,6.9,261336810.232547,6.829692838252227e+16,169069784.495999,2.8584592029523548e+16,292318524.808618,8.545011994628662e+16,16000.9082085296,256029063.49778992,102.502982771336,10506.861477020804,0.795173359376505,0.6323006714621164,-1.9007441036567,-1.9007441036567,261406614.285322,6.833341799211512e+16,49.332340256476,2433.6797951807225,169115149.451487,2.8599933773998784e+16,7.94060521046548,63.05321110847154,11444.2601776489,130971091.01372041,111926860.439176,1.252762208777078e+16,241028.499359328,58094737503.409584,111699193.135337,1.2476709747085316e+16,240484.098393485,57832601580.12738,3465338357.83369,1.2008569934273497e+19,1091.54200850255,1191463.956325781,1946.01962403669,3786992.3771359003,2572102463.00582,6.615711080200605e+18,1413453828.03224,1.997851723978993e+18,12663637.4708151,160367713992232.25,168872021.446587,2.851775962745654e+16,3455959978.94752,1.1943659376086942e+19,738632408.00257,5.455778341516751e+17,8002029140.27515,6.4032470361812664e+19,2159867525.36006,4.66502772710499e+18,1980294252.61142,3.921565326925822e+18
