\,watt-median,L1-dcache-loads:u,L1-dcache-loads:u-square,L1-dcache-stores:u,L1-dcache-stores:u-square,L1-icache-loads:u,L1-icache-loads:u-square,L1-icache-load-misses:u,L1-icache-load-misses:u-square,LLC-loads:u,LLC-loads:u-square,LLC-load-misses:u,LLC-load-misses:u-square,LLC-stores:u,LLC-stores:u-square,dTLB-loads:u,dTLB-loads:u-square,dTLB-load-misses:u,dTLB-load-misses:u-square,dTLB-stores:u,dTLB-stores:u-square,dTLB-store-misses:u,dTLB-store-misses:u-square,iTLB-load-misses:u,iTLB-load-misses:u-square,branch-loads:u,branch-loads:u-square,branch-load-misses:u,branch-load-misses:u-square,branch-instructions:u,branch-instructions:u-square,branch-misses:u,branch-misses:u-square,bus-cycles:u,bus-cycles:u-square,cache-misses:u,cache-misses:u-square,cache-references:u,cache-references:u-square,cpu-cycles:u,cpu-cycles:u-square,instructions:u,instructions:u-square,mem-loads:u,mem-loads:u-square,mem-stores:u,mem-stores:u-square,ref-cycles:u,ref-cycles:u-square,topdown-bad-spec:u,topdown-bad-spec:u-square,topdown-be-bound:u,topdown-be-bound:u-square,topdown-fe-bound:u,topdown-fe-bound:u-square,topdown-retiring:u,topdown-retiring:u-square
stress-ng --cpu 1 --cpu-method hyperbolic --timeout 10s,6.98,316099684.428403,9.991901049573597e+16,106324699.344952,1.1304941690794436e+16,597911921.243039,3.574986655645421e+17,16311.1753696378,266054441.9390788,144.721796006809,20944.39823943644,0.0993866247146812,0.00987770117217688,-2.79548490148076,-2.79548490148076,316888037.019797,1.0041802800626026e+17,51.4993136887526,2652.179310412541,106590243.758395,1.1361480064474064e+16,7.5405930571413,56.860543653407575,10289.7107482654,105878147.28296848,216922130.686979,4.705521078177879e+16,7252.22313748665,52594740.4358967,216469333.877756,4.68589725094794e+16,7183.56327657965,51603581.34862375,3457664314.67406,1.1955442512970437e+19,1126.84267029327,1269774.403593667,2035.9930305664,4145267.6205149535,2566578671.79175,6.587326078496303e+18,1430659605.91336,2.0467869079921708e+18,19024647.6782219,361937219280473.94,106757675.230293,1.1397201220576716e+16,3462013936.15906,1.1985540494159548e+19,462866519.80907,2.142454151601602e+17,6154307742.59946,3.787550379061966e+19,3981345970.74814,1.5851115738792448e+19,2240336824.50406,5.019109087228934e+18
stress-ng --cpu 1 --cpu-method idct --timeout 10s,7.1,927453954.49089,8.601708377007899e+17,313340137.985407,9.818204207271389e+16,561726172.087286,3.1553629240783526e+17,10347.9968545713,107081038.90221752,62.4900940453177,3905.0118537926505,0.0,0.0,46.9900434951598,2208.06418767701,920062599.806376,8.465151875624676e+17,48.0259074386449,2306.4877853052876,310843044.851731,9.662339853269525e+16,6.84581455511079,46.86517692296675,4857.90705133004,23599260.919362128,412130235.090043,1.698513306753741e+17,618451.409928842,382482146442.97253,412620822.209635,1.7025594292095523e+17,625466.553095441,391208409041.09204,3465664927.80606,1.2010833391824982e+19,1012.76877440278,1025700.590405309,1899.0823850351,3606513.905150604,2572378568.10514,6.617131497646651e+18,3515453526.72197,1.2358413498541937e+19,0.0,0.0,313525275.593785,9.829809843615883e+16,3464733386.55993,1.200437743994304e+19,128628408.871728,1.6545267568872436e+16,8563280960.69452,7.332978081179326e+19,473541621.489508,2.2424166728291245e+17,3724554861.08726,1.3872308913248737e+19
stress-ng --cpu 1 --cpu-method int128 --timeout 10s,7.07,85444496.4713446,7300761977241621.0,85424527.00826,7297349814584942.0,574348912.982444,3.298766738441151e+17,12169.8250221141,148104641.06887448,257.375490718474,66242.1432225753,1.09340156261149,1.1955269771212478,2.67175270637214,7.138262524006855,84908523.0516387,7209457286810659.0,47.2961994620783,2236.9304835566954,84888710.5482284,7206093178540903.0,7.03911473132893,49.54913620081196,4514.35970953422,20379443.58706589,21436213.5931635,459511253211727.7,23981.5774716904,575116058.0306886,21590102.6407349,466132532037468.06,23926.7098895904,572487446.140623,3465080777.70235,1.2006784796002324e+19,1072.28753254713,1149800.5524560125,1935.8283148135,3747431.264433675,2571983716.31055,6.615100236966628e+18,4797988624.97483,2.3020694845387858e+19,0.0,0.0,85325656.7971869,7280467707871326.0,3465798543.87295,1.2011759546711861e+19,2430993.78489445,5909730782195.444,1240888510.46436,1.539804295402458e+18,4636538377.50901,2.1497488126113886e+19,7013907429.89791,4.919489743517711e+19
stress-ng --cpu 1 --cpu-method int64 --timeout 10s,7.0,1224718.05853975,1499934322913.3748,1225716.68426178,1502381390077.6921,566418455.534942,3.208298667705891e+17,13302.0724291314,176945130.90985775,146.594034767294,21489.811029354605,0.0,0.0,33.7455284426447,1138.7606898733422,1222898.70710912,1495481247849.1572,48.4948064953261,2351.746257019123,1223933.82832219,1498014016111.4124,7.23877752152761,52.39990000617341,4529.03911916515,20512195.342928234,71287901.3914683,5081964884799708.0,73377.8879635228,5384314441.987303,71081748.1043174,5052614913565630.0,73059.4017970005,5337676190.935559,3464164046.98315,1.2000432544410675e+19,1142.44070702777,1305170.769074111,2082.69074702778,4337600.747755133,2571207710.12281,6.611109088594984e+18,5986897170.9345,3.5842937735343518e+19,0.0,0.0,1223800.059573,1497686585810.8784,3453677799.18684,1.1927890340596056e+19,6730516.23211496,45299848750762.96,6416947230.91251,4.1177211764315726e+19,144908878.507327,2.0998583070251256e+16,6288350449.91285,3.954335138091915e+19
stress-ng --cpu 1 --cpu-method int32 --timeout 10s,7.02,1199568.51998387,1438964634136.2922,1122040.16966199,1258974142335.1072,651094777.582334,4.2392440939498906e+17,12310.9715783591,151560021.20316556,187.145380413514,35023.39341011887,0.0,0.0,7.63949903429059,58.36194549492685,1199294.28720822,1438306787330.2725,52.3369493624999,2739.1562685728786,1121832.27586701,1258507655176.9553,6.73861279456486,45.408902395073234,1684.53229345799,2837649.0477028354,79389629.9593177,6302713345077394.0,80922.659171029,6548476767.310523,79536420.0606322,6326042116061336.0,81375.8149246793,6622023254.655659,3464689146.15814,1.2004070879506022e+19,1097.99850980572,1205600.727535582,1947.50940894403,3792792.897925525,2571613610.31402,6.613196560752309e+18,6479857538.99019,4.198855372560799e+19,0.0,0.0,1124504.06910069,1264509401424.0095,3465885623.06224,1.2012363152149533e+19,7343853.87366223,53932189717703.734,6330083035.34555,4.006995123436953e+19,56795779.7603386,3225760598584887.5,6488761498.44054,4.210402578364432e+19
stress-ng --cpu 1 --cpu-method int16 --timeout 10s,7.0,904753.212938694,818578376322.8899,825077.998541569,680753703677.3613,567633986.523298,3.222083426563317e+17,11909.496418246,141836104.93621433,99.137629727016,9828.269627890928,0.397219014965875,0.15778294585046002,45.167319349104,2040.0867371839445,904899.067116212,818842321667.7908,53.0771718175449,2817.186168149183,825168.294088209,680902713568.4451,7.65304094145086,58.569035651523066,5931.97838877706,35188367.604918085,81662023.2591204,6668686042773122.0,83629.7614801959,6993937005.234458,84049278.1536276,7064281158145862.0,85939.465802937,7385591782.494179,3462318040.37238,1.1987646212688036e+19,1006.87249008517,1013792.2112903108,2019.94967895461,4080196.7055088314,2569845049.44171,6.604103578140065e+18,5864169837.73051,3.4388487885748273e+19,0.0,0.0,851991.551562224,725889603933.4059,3462939573.885,1.1991950492378827e+19,7058116.49354166,49817008436404.81,7108043270.99867,5.0524279142389465e+19,85352458.3519395,7285042146719567.0,5662753166.58806,3.2066773425703105e+19
stress-ng --cpu 1 --cpu-method int8 --timeout 10s,7.01,1361733.16134703,1854317202712.1763,1278639.11677949,1634917990958.634,593669853.017615,3.5244389438195654e+17,9921.36672948181,98433517.78086857,149.537406635048,22361.435983135696,0.0,0.0,40.9879605339859,1680.0129087355856,1362629.59753134,1856759420068.4219,51.4487001538161,2646.968747517277,1279473.11498887,1637051451979.322,6.85235297940814,46.954741354403616,5144.51793793463,26466064.81373118,84919811.2233768,7211374338213952.0,87105.0474466102,7587289290.676214,85145626.0855418,7249777641498896.0,86542.9346570617,7489679539.056452,3465641100.65383,1.201066823854109e+19,1052.75309624637,1108289.0816563186,1843.39177621291,3398093.240609387,2572410342.22646,6.617294968793653e+18,5993100667.72058,3.5917255613432865e+19,0.0,0.0,1279247.37529033,1636473847187.1985,3462879036.90137,1.199153122421096e+19,6538422.34925437,42750966817229.03,6807479615.17357,4.634177871100369e+19,61676227.2590428,3803957008909094.0,6009728214.89893,3.6116833216952275e+19
stress-ng --cpu 1 --cpu-method int128float --timeout 10s,7.33,463483476.529537,2.148169330159059e+17,271731320.473054,7.383791052602957e+16,969400460.494364,9.39737252806685e+17,12003.8505222192,144092427.35978216,48.0308160363346,2306.959289116217,3.07917639481513,9.4813272703867,44.4837799830103,1978.806681576868,467796213.499066,2.1883329736406374e+17,47.7794700729954,2282.8777604562633,274259517.314797,7.521828283774542e+16,7.84726948343088,61.57963834558555,12437.6748102589,154695754.6857488,537072609.340945,2.884469877042913e+17,18962.2100368848,359565409.48293465,531424833.221537,2.824123533645384e+17,18831.5252407355,354626342.89245826,3465972827.741,1.2012967642638944e+19,1088.21080347878,1184202.752807932,2067.95596759001,4276441.8838911345,2572609971.59573,6.618322065953782e+18,5794568598.88807,3.357702524721965e+19,0.0,0.0,277003715.07684,7.673105816637115e+16,3462762282.36273,1.1990722624153944e+19,2085581.93632094,4349652013108.2017,253912925.811991,6.447177389440565e+16,5113418354.17055,2.614704726476826e+19,7413536200.73438,5.4960518999599145e+19
stress-ng --cpu 1 --cpu-method int128double --timeout 10s,7.38,800150425.85222,6.402407039914892e+17,409591037.898059,1.677648183264092e+17,846575092.476621,7.166893872017994e+17,18518.4051294938,342931328.5400623,110.502980049488,12210.908599817543,0.0,0.0,37.6290671367639,1415.9466935830849,802542415.691252,6.440743289835503e+17,48.5426627043896,2356.390102432137,410815795.743562,1.6876961803241603e+17,7.34543351025013,53.95539345350555,4526.39603868201,20488261.098996192,537108027.770618,2.8848503349564294e+17,3320792.09334575,11027660127227.648,534623502.516894,2.8582228944343136e+17,3246274.30538701,10538296865815.914,3466295660.58434,1.2015205606585827e+19,1049.9254886386,1102343.531693003,1883.35128874531,3547012.0768186203,2572875017.45695,6.619685855454102e+18,5180910049.8181,2.684182894430619e+19,0.0,0.0,404187739.066245,1.6336772841148298e+17,3450174752.67545,1.19037058239991e+19,764171399.647245,5.839579280388296e+17,3247516746.24752,1.0546365017158078e+19,2697256864.04702,7.275194590648764e+18,6189296624.24141,3.8307392702846116e+19
stress-ng --cpu 1 --cpu-method int128longdouble --timeout 10s,7.21,870258254.142744,7.573494289035767e+17,380553027.800423,1.4482060696806954e+17,884800915.052895,7.828726592784402e+17,11291.4928221977,127497810.1537422,-7.6189880231196,-7.6189880231196,0.198600926159475,0.03944232787140124,38.1148411395771,1452.7411150951991,869785799.3444,7.56527336741177e+17,50.8243636209978,2583.1159374794047,380346414.441816,1.4466339497874563e+17,7.44432941854376,55.41804049179608,14308.0357444971,204719886.86580667,767399830.625296,5.88902500043733e+17,5726198.42237415,32789348372400.203,767467687.3024,5.890066510532945e+17,5800921.30563237,33650687994139.555,3461438648.33169,1.1981557516164315e+19,1074.38058439989,1154293.6401354494,1998.17279808044,3992694.530988615,2568870693.03393,6.599096637528623e+18,4990992921.73737,2.4910010344832524e+19,7280915.59381041,53011731884191.6,379718587.216617,1.4418620547778355e+17,3461624853.51633,1.198284662648195e+19,1023290719.30514,1.0471238962160308e+18,5500175557.88696,3.0251931167577133e+19,1078390000.75439,1.1629249937270533e+18,5256476419.7127,2.7630544350995644e+19
