"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","LLC-store-misses:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","L1-dcache-load-misses:u","node-loads:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-stores:u","ref-cycles:u","mem-loads-aux:u","slots:u","topdown-br-mispredict:u","topdown-fetch-lat:u"
"stress-ng --cpu 1 --cpu-method euler --timeout 10s",9.515,746515714.03158,629850034.320806,25903.9820967227,87.3261875389502,38.4198110686638,23.1438206955149,0,734344017.226897,78.4924895375858,619580088.944548,62.2214947916979,196.37332510253,1126318218.88243,3431.53672444001,5237.67870003435,3.67417950847284,1124079163.31483,3281.82205477298,3470475517.46223,936.530472831524,2583.92794852998,2871937497.5938,9251992000.77472,747934455.688264,3461392045.72345,454.256820335896,17215372197.554,212424.100833478,551613.451447521
"stress-ng --cpu 1 --cpu-method explog --timeout 10s",8.39,1123741404.04515,231397792.103164,33883.457573746,119.756975356763,48.7054372405195,23.065673368917,0.298310528330061,1357539346.74016,77.4972953289626,279533335.391682,63.8114275543524,597.472006504642,660533828.564815,2959.41965951898,10390.7266449233,5.66510208767649,660346787.186069,2957.12616132641,3471353830.58711,940.061096476555,2349.38534123848,3468702400.22893,4401626971.97905,242643089.709215,3465588102.69764,463.47774286653,17243646983.0874,218293.520753658,513290.155098627
"stress-ng --cpu 1 --cpu-method factorial --timeout 10s",8.57,394450386.132648,255128901.594986,65770.1390800961,125.176783072147,26.4728833352727,17.5679249184153,0.794384709448904,394599869.456143,82.3769698390458,255225329.082785,62.3256716697726,640.528965281743,168562174.152762,276533.299100358,7503.16551261662,3.77899890575984,169059574.231465,263548.174999837,3459944902.37048,969.957273487976,2647.86630259704,2864601185.44585,2132784218.55572,254748581.966744,3460057667.74117,14843998.4374802,17193394488.3018,606976524.870405,2562387822.52544
"stress-ng --cpu 1 --cpu-method fibonacci --timeout 10s",8.44,218778684.008957,109398394.190405,29883.5912297428,187.186682195722,20.2535144185519,10.0346684870631,2.28620841442502,217846722.417967,75.9825135070286,108932446.423317,61.577379838767,313.694450958507,2636338495.82557,26630737.0333219,5182.58928862337,4.17673550715201,2140244045.1629,21619789.2561236,3463416731.27302,908.371200266051,2515.24821426832,2867564049.12094,8562348818.42588,108433720.328109,3464966184.60958,489.516773973089,17236461074.2785,3785066374.26886,1419813939.20038
"stress-ng --cpu 1 --cpu-method fft --timeout 10s",12.83,3929111550.48592,1720853481.43243,78673.7476074409,275.358235261978,99.0837258581857,96.0076961467018,3.2832338636323,3921618167.01219,55608.6417592439,1717571313.92536,298.618974365247,33294.0461204082,2124929385.6944,995111.12996167,49073524.6697014,0.0971696557577688,2132531105.49975,969180.925086351,3472113082.83728,1036.79263786152,3186.89502430849,3469284667.79613,16886800926.1668,1712951815.5868,3471114627.76497,495.99878715671,20773589208.0416,163132670.295399,81977799.0353536
"stress-ng --cpu 1 --cpu-method fletcher16 --timeout 10s",8.465,341132225.821588,2054067.51459364,23854.7923956624,97.1672707643245,9.12672802228646,20.3781377886136,3.28103092977542,342243195.590788,81.8074280616434,2060271.50651594,65.1280778049731,119.240168410479,319755562.986779,595661.456693113,5363.7640578207,5.16950825492563,319679805.124528,595734.500965587,3470591615.03637,967.26597334406,2588.94248210022,3468000550.11527,7635720250.7416,1922859.04358691,3472815988.43937,479.765393880086,19356905964.3135,206664.153155309,506058.957013807
"stress-ng --cpu 1 --cpu-method float --timeout 10s",9.345,1076136798.63782,274540196.511454,32120.1916159727,168.052049106059,36.9175521202788,5.55587102525271,1.29133088406699,892582873.16106,76.3972738244878,227716713.519291,62.783064763485,1344.52135252806,593700859.221583,11166362.0282133,6383.64370517444,1.98816452915112,595243483.068672,11313849.8342928,3462328879.94526,955.312406219863,2440.79839893994,2866684073.15381,3194892997.97839,227497983.115389,3467327540.68984,533.136282003821,17225804939.217,1823921645.25824,540857750.701512
"stress-ng --cpu 1 --cpu-method floatconversion --timeout 10s",9.385,819742147.449279,409902024.321073,23760.5819186563,90.0197557454146,47.2114310580582,24.7550079291569,1.78979273340206,990888025.363987,75.6492794537178,495479540.920921,63.641845416558,520.34560818143,495638195.359396,9570.89699890532,5203.43091401554,1.98584881031946,494359026.217913,9981.5654432516,3472405400.62596,903.748277685657,2569.88818721883,3469754700.29764,8952169571.51163,471254028.065546,3468644887.18374,444.043771385133,20816263179.4153,210790.6174253,621163.420297375
"stress-ng --cpu 1 --cpu-method gamma --timeout 10s",8.515,49909471.0270185,60113.6603550359,27204.3653891294,121.954482128541,45.7904755302074,33.4878067381,0.298157380190805,46301746.2330792,78.5781424115785,60096.0969539065,61.6157130636031,399.828953371443,138250711.313486,2687.08745812004,5906.66710830644,4.37303786015215,138725538.612798,2789.30384932194,3463495829.41436,913.163094936213,2401.074354258,3460715706.16714,1497244702.38223,60083.437673636,3466271464.57184,479.813802033875,20815870692.5988,213310.24061625,11182951370.0954
"stress-ng --cpu 1 --cpu-method gcd --timeout 10s",8.43,119373.302702628,68763.2776385337,27022.9198683459,216.144479961334,42.2491382679741,14.2179218743975,1.98898281074827,120046.441666217,74.9313220008464,69467.912592379,60.3448238872075,152.457099924077,294728205.175546,19817774.371601,5929.87907687912,0.394378116703656,244609861.423623,16379769.7090316,3461070707.1794,929.008458611161,2588.04403453429,3458467605.66425,2072719973.10348,68828.7161962176,3464024707.83025,461.681449080478,17245530784.7354,5274752094.4841,270985783.089386
"stress-ng --cpu 1 --cpu-method gray --timeout 10s",9.085,675914.83501879,320971.097943687,24729.5174521399,181.061236957027,29.2493568242833,6.7435841393822,2.58152503088662,587529.418980493,77.0053060639763,280298.982135816,62.7907174857971,104.57672998027,362741383.891722,62307.7780504875,6139.75782823239,2.6831467573681,360284975.305935,46079.964836429,3469311452.62844,927.936787687693,2349.7264030131,3466565113.42925,10843441431.1069,319864.839860584,3462462973.88432,495.85206838203,20802495625.3737,210829.477908706,523275.229294503
"stress-ng --cpu 1 --cpu-method hamming --timeout 10s",9.59,348588770.245632,348545098.644132,27696.6631123446,206.439205827106,13.4024145758573,12.3249149213118,2.28681149530778,348186242.555081,76.304506423554,348142562.5643,59.039627301051,594.777405402898,772605366.924052,3347.12691984537,5253.89433791708,4.96867638775592,778754089.039751,4266.4243261042,3472113396.81853,889.065092407632,2624.86003005921,3010826014.72405,17234950797.8404,307826579.065289,3463981732.16909,474.626748893028,20803890359.1705,206246.930285789,515487.206498789
"stress-ng --cpu 1 --cpu-method hanoi --timeout 10s",10.55,2553565316.45535,2552922191.18004,25653.0594923755,186.943383051508,16.198301094127,5.86556089648976,1.69089646849553,2566739607.06517,77.6904760219999,2566093426.72204,63.081301731444,181.984342656263,2344675730.4679,71108.5031992206,5630.7758241495,4.07687053004991,2827393322.05339,100179.725440803,3463928627.25232,908.810488017901,2345.86101142426,3461164677.37825,13332855080.8974,3085044771.24482,3469505922.97584,507.315020786865,17220925642.4237,209861.338543154,3376792763.91436
"stress-ng --cpu 1 --cpu-method hyperbolic --timeout 10s",9.495,844605261.026065,283945125.911592,56461.6676727701,206.657504231184,58.0655822002326,6.64722871361976,0.198639343344223,1020506631.4147,81.2759477486867,343075563.681924,56.8528999171061,4765.12731946966,698058790.57431,24443.754278519,9750.32745247449,2.38296172650998,697706307.553882,21976.3287972839,3471085512.39822,992.329147792825,2492.13928539147,2873934594.72012,4602185895.67709,343235803.15836,3471132928.29477,413.007644968813,17191615123.9219,1213610226.14413,2292458085.19186
"stress-ng --cpu 1 --cpu-method idct --timeout 10s",9.505,1691692967.44858,571442396.923759,45502.4931439271,208.507823148758,14.3175191515624,14.822834616452,1.69141585997464,1694546821.39435,74.9603958820779,572406551.347089,63.1497953776956,6939.9279549509,753287623.995632,1074894.60100683,7358.29764239823,4.56555513117889,750766560.655506,1069530.84057716,3469308611.56951,917.444826496898,2418.1719211179,2872274828.06922,6403022700.61237,570962028.489598,3461852154.84782,524.759042189409,17233689136.8003,135364659.386753,495850.579065593
"stress-ng --cpu 1 --cpu-method int128 --timeout 10s",8.525,191504930.521086,191420217.795697,27349.8870392777,181.391515897785,35.8095219832266,5.45399193268014,0,158460862.450958,76.6712916856159,158384422.810158,62.3982735975802,96.5648239942047,48017880.2791801,49734.2829568195,4151.08506231277,5.06755311938709,39857648.8320838,41512.7384806432,3456419798.28923,874.483469567841,2329.1942969498,2861638799.06576,8918058927.05547,158475488.541565,3469029619.51743,422.331706448247,20771277753.4197,207197.690424283,515008.800912567
"stress-ng --cpu 1 --cpu-method int64 --timeout 10s",8.425,2068261.86626828,2031055.82036178,30390.9515368894,199.195412819186,32.1967389047723,5.86269150825866,4.07672257101329,1727958.41772671,80.9717783856083,1690810.81603513,61.9191981021705,167.232614106367,103355726.781553,104464.705043418,4062.1132551371,4.76815360702381,124727401.106709,125753.775645679,3471387637.7806,914.334508738176,2464.90795650334,2874041361.64459,8700813050.04079,1691645.00891164,3466491313.37675,512.180738265753,17253667801.7618,212615.511276132,543177.777232263
"stress-ng --cpu 1 --cpu-method int32 --timeout 10s",8.445,1910097.94142595,1743261.40324236,24409.7302222373,176.586998135548,18.7531484097456,4.86368089666505,1.39122081890331,1600738.5386718,77.8450111322709,1455945.6476817,62.7520409492531,457.498917842326,108598429.776224,109739.205417571,4827.72002217626,2.57728637955704,108536515.291555,109611.91315906,3469255094.70371,891.701315492938,2487.9169900696,2872315086.08454,8814561550.57952,1451643.77538299,3459761788.38842,550.944208535391,17191021854.3939,206070.253451161,512266.625828814
"stress-ng --cpu 1 --cpu-method int16 --timeout 10s",8.225,1153870.72793365,1010651.82472016,23920.2652882883,105.637092250379,48.9446969490451,33.728555984651,0.298498661977448,1154947.14170383,76.5596558105986,1011683.72507557,63.3542527464727,150.921087691638,107019619.539848,108122.289889956,4352.89165663782,4.46882250075779,106740533.923758,108036.625263599,3472764819.54224,929.08216409652,2471.50594856181,2875293918.29058,7432091933.42683,1010188.9346715,3469872519.63637,432.957118569533,17223432732.0915,207984.346741979,515903.768141238
"stress-ng --cpu 1 --cpu-method int8 --timeout 10s",8.415,1778378.88840452,1628811.73571444,27252.835175715,127.967016837097,45.8407776739239,26.2567691549568,3.08350342312751,1781459.05140871,79.7028530739203,1631806.60793489,61.934887817959,139.443826969927,113336603.840819,114537.304973429,4784.06024404891,4.47049404931127,113287481.29746,114434.581499718,3471943437.52976,927.223550612264,2701.27056482926,2874764388.95933,7986333813.1819,1628621.77443372,3467220807.62744,518.068019427028,17239156175.4444,205286.150043047,526366.106456359
"stress-ng --cpu 1 --cpu-method int128float --timeout 10s",9.915,926731621.306283,543243516.073216,51114.058658905,177.119431247741,35.6324297652558,2.67590235884188,2.38428707259661,928610797.867663,79.2589837196601,544344823.903674,81.2844806088431,30289.2910878042,1057270817.78671,108632.284022991,5139.7597121274,3.67919568606512,1056637224.28076,65140.2381329133,3468321150.4641,973.534500276121,2650.84382397971,2871550185.60542,11405284505.478,545101857.709036,3470340765.90651,486.428187157854,17207151802.2874,208443.951481467,525976.761295788
"stress-ng --cpu 1 --cpu-method int128double --timeout 10s",9.695,1566177886.59057,801628342.293398,82682.1444619373,207.446186143722,18.7342263418737,6.05110630020163,2.18498336541854,1565353857.07204,84.3659487099753,801206435.228147,64.5133238171232,11775.2404024324,1047944053.62133,217946.011485394,11410.264981434,5.56895104090827,1046035517.89525,240899.746787381,3468274572.46312,1086.65349161753,2473.17454182056,2871539380.58608,10271777863.5276,801245552.24939,3460423282.60579,499.323757483867,17230268119.3251,135332556.805378,527812.626926524
"stress-ng --cpu 1 --cpu-method int128longdouble --timeout 10s",9.595,1228407268.6894,537103579.309843,78442.8831266953,221.02795038581,31.7093219703043,8.94757413911104,3.9781178592287,1226987474.94997,240.883605214936,536482623.151431,113.748055567462,97589.4991556415,1083213192.26981,9481550.5662126,21986.4872452748,6.26412580537556,1081848366.94626,9666996.06004508,3468697265.63259,1000.54501681606,2529.24537058566,2871947864.45327,7056338868.69229,536782897.157822,3465017432.51606,535.893860552592,17170934047.5146,1885441392.26425,1212430542.70088
"stress-ng --cpu 1 --cpu-method int64float --timeout 10s",9.525,969184299.068068,521856986.38298,38054.6820025514,199.202339976345,13.2171635957662,12.9291107609364,1.79053764744504,848091185.805268,81.4648383489051,456654967.080503,59.8290333417332,408.42829201059,1073260900.02059,34896.2633914028,6541.0107220385,5.86997950579205,1076371438.46866,34784.8404212716,3464269379.93341,935.352044002844,2620.0358863405,2866822141.17869,7351039146.32605,455667191.637185,3460366980.58128,468.386590798131,17222290731.5721,211596.192885119,542272.68879764
"stress-ng --cpu 1 --cpu-method int64double --timeout 10s",9.57,1882638572.69285,938368660.583777,71035.3975241332,100.912758829978,28.7041454093846,23.3552788978128,0.795231949777746,1562822832.95725,97.9122912004744,778963620.81335,66.2577995623195,8131.8707563578,1074530321.0836,138881.60282031,11287.7632699235,3.27537270597338,1070557268.80575,312681.911811044,3469454687.56243,928.637976255985,2599.43302620098,2872384309.07335,8671918410.09923,778325802.888391,3468565377.17028,471.751230548907,20755776622.2907,244364581.379765,524671.89492787
"stress-ng --cpu 1 --cpu-method int64longdouble --timeout 10s",9.55,1229472903.07022,535099882.819456,73264.4639190815,194.297917969601,54.4624223969506,5.36467314771265,1.69017492817728,1233195466.8865,257.73092547327,536719613.52992,109.481593062217,15291.1120120943,1088363821.42927,9673063.49062587,16349.6957988951,-0.301494200123373,1229759474.05891,10880461.0816382,3466845681.12519,1019.36985976222,2518.55149313185,2870321378.67984,6921252154.98271,536709921.489268,3469523732.70568,525.906614996837,17174783002.5805,1818519122.20636,1280056856.38645
"stress-ng --cpu 1 --cpu-method int32float --timeout 10s",9.505,1033505656.32944,556490658.844916,38628.4144665533,92.0649313245611,43.8537931123537,30.1373476696503,0.397887412711415,1031374735.87201,84.3537128489484,555342868.097005,65.0350431586503,2613.65226875457,1303894221.69608,44602.0898297664,6083.45971777083,-0.101200258607932,1309767450.86771,55085.7265162455,3465021136.73182,1061.45759799974,2628.56405062857,2975098309.72676,7133310342.04858,460492467.767345,3468610318.93869,491.854474597001,17198307852.9153,209735.26516103,528933.678815235
"stress-ng --cpu 1 --cpu-method int32double --timeout 10s",9.54,1560299174.62811,777705722.215415,84242.3128246389,118.084353760935,35.4856245539451,20.5822142139317,0.994472306012942,1562370281.77856,117.970860768923,778738281.228532,71.3290676312424,27249.4161227697,1068404500.49437,337009.876066386,12671.1120050373,3.87463328214828,1071910407.42058,278943.61319435,3462726090.78531,1014.44313153874,2449.92582484308,3459984610.77484,10311811554.5984,939422152.941716,3463760120.67711,499.716350647487,17188555643.4682,135013376.98117,510656.153344093
"stress-ng --cpu 1 --cpu-method int32longdouble --timeout 10s",9.66,1451645843.58625,631792752.40298,83766.3443236826,220.28714839526,20.6250625890264,9.92585998766996,3.67513583670051,1488516562.66557,208.985965765156,647839409.875687,86.0654027695478,50055.6238810551,1089232090.41541,9444380.3655643,23093.029718048,4.56774258694132,1093273420.42347,9469052.05802608,3463018731.45673,980.140574600831,2671.70265771261,3460460856.27424,6900393571.4069,536114045.039663,3467873266.78442,527.468508467986,17176258259.3164,1886026349.29016,1280171449.42988
