"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","LLC-store-misses:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","L1-dcache-load-misses:u","node-loads:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-stores:u","ref-cycles:u","mem-loads-aux:u","slots:u","topdown-br-mispredict:u","topdown-fetch-lat:u"
"stress-ng --cpu 1 --cpu-method parity --timeout 10s",8.56,479704.015520427,281202.047948604,24909.5582759913,217.948102826874,14.5928298537417,5.56312935113583,3.67844913045701,474038.63469936,78.1876327473261,277906.061135616,58.936461594926,92.8620585943824,1885852225.70937,7302377.20988596,3970.70776181662,-0.103592771955024,1839897378.14432,6596841.1109728,3458837775.60954,958.626320709563,2526.64560976201,2863531307.11733,8688210627.00072,288495.048569662,3465070957.999,501.784051660733,17203675534.0343,1025223818.08552,4452732570.81478
"stress-ng --cpu 1 --cpu-method phi --timeout 10s",9.47,306651807.028694,178881777.866312,27186.502778632,207.89025066364,18.9780458525481,4.07411087892052,4.17686469485654,306354183.349466,81.1554159451375,178707931.581023,62.2073557807922,591.708054234954,3506387670.04257,2933.14586044113,3995.45617312614,5.1694106169954,3499829905.20134,4447.64092192313,3464053716.12401,915.466541570786,2627.471156389,2987244404.69622,15684087925.2041,182120662.352871,3460268840.54998,477.987708398409,17215175943.9887,216101.067446897,515327.311854026
"stress-ng --cpu 1 --cpu-method pi --timeout 10s",8.63,463708539.831891,310208266.73346,37181.2231206518,189.955734509797,29.9296861901049,5.66764677569207,1.39266628735333,463969084.924755,80.3683684992561,310382512.617955,61.4175550574651,391.249636278638,158377491.117598,3931.21696948654,7315.84437914374,-0.500100093348731,158244709.435259,3352.64965469158,3462073474.65487,978.212066700049,2645.72626630864,2866511367.86239,2553912608.45765,311036461.332885,3471312439.89446,14497087.439432,17195084936.2811,809301138.979937,2697478340.90009
"stress-ng --cpu 1 --cpu-method prime --timeout 10s",8.455,100098.161511794,60339.385552224,23722.0133942712,174.332390663114,41.6166715857105,7.54818880175657,0.198772985666635,100346.431200491,75.1205128331012,60588.9293231192,64.5140225787363,117.053417180777,763783524.269276,14123052.6455368,4321.18572677949,-0.39961096506652,915846145.133368,18248268.6484891,3470265277.1761,968.46531674402,2317.13906687509,2873261089.57957,3964352749.57798,59791.6121345358,3458996651.49418,496.586692634196,17234712049.9377,2568244157.98316,541153582.945251
"stress-ng --cpu 1 --cpu-method psi --timeout 10s",8.515,54024483.4054205,29472779.118999,31713.334112558,187.834157771745,17.5766594837678,7.15421412130309,3.38033118662605,53956462.6580971,77.2698216216118,29435664.6604871,63.8614008406024,489.592901683274,951573133.415685,4906576.77758657,5196.07610688114,-0.20113858662376,949044473.639094,4893542.76914452,3470467173.8573,903.451923794596,2376.52695475639,2873389023.24666,7397873222.53906,29449409.1048072,3466630928.73134,497.928618813123,17199318539.0053,1416470393.29313,472594392.984524
"stress-ng --cpu 1 --cpu-method queens --timeout 10s",10.09,1054401114.49343,1054360878.10153,26928.2255413311,218.545596997175,9.82087882676759,6.35850381638445,3.18137302296494,1050829070.54786,83.672487475716,1050788790.25608,64.2498331417232,270.52926441246,663401363.473472,87081327.5229665,3967.1976906608,3.28059165624201,663312761.928166,86910831.5458152,3472962751.95392,953.2495968826,2363.447902507,3470242654.27879,6053375195.35433,1048921329.489,3456208856.54569,494.836721900808,19276515834.3306,9675307512.34053,1285544565.38917
"stress-ng --cpu 1 --cpu-method rand --timeout 10s",8.005,402976.803264035,334917.236666363,28723.7985403339,202.915074936291,20.7537684721919,7.84884241206012,3.77755624150584,403168.338536961,78.669423192499,335043.359507163,61.9084233796356,2821.43810599316,77039151.1169269,61013.472634393,5280.11373949337,3.87560364919249,63925294.1930683,33087.480262741,3462362213.03396,890.990486994182,2597.21407353981,2866719701.24231,6234840976.11007,334839.669553501,3470679939.22368,475.894948611756,17193855939.8233,209566.596241398,527797.690819669
"stress-ng --cpu 1 --cpu-method rand48 --timeout 10s",10.855,3927856889.269,2100996749.08852,39434.185444797,131.360308968316,21.3739482299089,29.640697970317,1.69105828033892,3922708269.72705,89.9714706832014,2098242690.19337,64.1393847349126,10879.982793662,2320463272.18064,17428.6710361007,5451.41339214439,4.67278154586549,1922000599.46816,14952.5044269615,3461696826.42341,969.799789944108,2436.5524909999,2865887914.04213,12342140926.9171,2087289193.93166,3458724278.98505,494.663358319473,19076279569.9538,208671.853346335,524111071.417328
"stress-ng --cpu 1 --cpu-method rgb --timeout 10s",7.745,1519720.09419605,68438444.8825291,26616.4413074914,214.761554090485,21.0273524572397,6.35133764455465,1.88749175084537,1521394.07111569,78.3292372062229,68497590.0866592,59.1627828660008,592.981193795361,9079003.28271899,3578.20096756459,4545.58263084396,1.88656056276124,9075644.37828251,3489.91454144041,3470206698.28288,983.58606553406,2513.98654235501,3467485848.54715,2400643760.72431,82447741.626073,3461193511.49294,480.213641555983,17241285447.0943,208659.393894879,517797.614213314
"stress-ng --cpu 1 --cpu-method sieve --timeout 10s",8.935,1492408018.16358,982903920.618466,30215.9645485121,202.603381274266,20.1967699589956,6.06958818418816,3.18465674646619,1234005631.98967,75.1961456716566,812718455.62814,66.6835135672258,119.223132918681,867159977.695891,378300.320983769,14951.4061835072,1.78642422137093,868939597.108185,374943.589430957,3454650455.94805,912.244503640623,2476.1681213826,2860143040.5209,11223965584.0304,813420689.027431,3469458879.35835,498.831289622592,18880261669.8185,74242408.3637644,74566587.9624948
"stress-ng --cpu 1 --cpu-method stats --timeout 10s",9.555,2107593406.33256,1610674378.82102,45221.7251104552,583.557770929268,16.3996812876638,7.85569370011814,1.98944461260426,2108313255.16685,83.2187195295238,1611224672.73286,61.7590923753042,113.593097423209,1418996157.27043,1601863.44606608,18519.1909912966,2.28180724563922,1413312455.55116,1595842.58294984,3464743687.1493,970.763947302182,3106.02803328556,2868566376.91444,11283919578.5347,1611676110.06394,3462806764.91603,485.263830183457,20771220562.5597,163103499.648433,81954614.124455
"stress-ng --cpu 1 --cpu-method sqrt --timeout 10s",8.71,818473747.521552,818374182.216335,28232.1264894768,193.390260018761,14.568592663345,4.66212977005475,2.38407559749501,820502055.090626,81.4649314568332,820402430.101544,62.513069698096,232.846174101338,1228143851.01208,14910.2358197123,4348.01097627966,3.97327672833789,1230171011.98236,14856.1194629777,3471263419.31304,1077.58143798469,2454.26879461934,2874077090.55046,7788638268.43551,819930481.491477,3466665519.57172,528.930457678744,17229616131.6409,213956.709177135,511252.341854509
"stress-ng --cpu 1 --cpu-method trig --timeout 10s",8.685,808140492.283359,321478983.266083,67478.1735388613,180.921440968897,18.7909788032064,8.05592848931505,2.288128669743,667235689.80643,82.7613076985135,265430114.12023,56.2528967808078,14192.0168750242,286677404.752085,236034.227576705,9777.46121660556,2.18059076374775,286409546.67919,223181.240822401,3466487191.16556,928.404385743393,2562.08474000589,2870097866.6694,3073255383.70783,320800636.945825,3464114045.9211,476.36099746688,17233880747.4989,608403871.571199,4190259953.37253
"stress-ng --cpu 1 --cpu-method union --timeout 10s",7.68,338831050.177334,211788197.680053,29363.1514029081,204.611773532128,15.5971744502314,8.84782458216623,2.78461271076266,339227297.037901,77.7606583754759,212035933.67153,60.2755029324222,230.783232929146,25760974.0364245,27629.2556895231,4248.71605052028,4.37128454467591,21400970.89637,23194.4231870096,3461323269.33522,978.063916219433,2583.02543438723,2865765249.17923,2667422065.29545,211866866.498566,3469125289.06883,20285.7761208181,17176132138.5721,210152.299961201,607879.44112757
"stress-ng --cpu 1 --cpu-method zeta --timeout 10s",10.57,1853918030.86008,693172089.233806,50832.6243584837,173.317776419997,20.3447003380606,11.9198239900696,3.77633953525664,1854431720.0925,98.1251054162148,693363812.688011,69.3099922338527,78.0096931797191,1531931888.28698,19892.6001856928,8470.86370498124,3.96789849412161,1533996452.87699,19673.2958559433,3458280326.77098,1053.5291121747,3242.25154176189,2863254516.96932,8461729887.71577,692937251.525626,3467722137.29471,476.68768698767,20740027503.7734,209365.625817633,569792388.687203
