"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-loads:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-loads:u","mem-stores:u","ref-cycles:u","topdown-bad-spec:u","topdown-be-bound:u","topdown-fe-bound:u","topdown-retiring:u"
"stress-ng --cpu 1 --cpu-method int8 --timeout 10s",7.01,1361733.16134703,1278639.11677949,593669853.017615,9921.36672948181,149.537406635048,0,40.9879605339859,1362629.59753134,51.4487001538161,1279473.11498887,6.85235297940814,5144.51793793463,84919811.2233768,87105.0474466102,85145626.0855418,86542.9346570617,3465641100.65383,1052.75309624637,1843.39177621291,2572410342.22646,5993100667.72058,0,1279247.37529033,3462879036.90137,6538422.34925437,6807479615.17357,61676227.2590428,6009728214.89893
"stress-ng --cpu 1 --cpu-method int128float --timeout 10s",7.33,463483476.529537,271731320.473054,969400460.494364,12003.8505222192,48.0308160363346,3.07917639481513,44.4837799830103,467796213.499066,47.7794700729954,274259517.314797,7.84726948343088,12437.6748102589,537072609.340945,18962.2100368848,531424833.221537,18831.5252407355,3465972827.741,1088.21080347878,2067.95596759001,2572609971.59573,5794568598.88807,0,277003715.07684,3462762282.36273,2085581.93632094,253912925.811991,5113418354.17055,7413536200.73438
"stress-ng --cpu 1 --cpu-method int128double --timeout 10s",7.38,800150425.85222,409591037.898059,846575092.476621,18518.4051294938,110.502980049488,0,37.6290671367639,802542415.691252,48.5426627043896,410815795.743562,7.34543351025013,4526.39603868201,537108027.770618,3320792.09334575,534623502.516894,3246274.30538701,3466295660.58434,1049.9254886386,1883.35128874531,2572875017.45695,5180910049.8181,0,404187739.066245,3450174752.67545,764171399.647245,3247516746.24752,2697256864.04702,6189296624.24141
"stress-ng --cpu 1 --cpu-method int128longdouble --timeout 10s",7.21,870258254.142744,380553027.800423,884800915.052895,11291.4928221977,-7.6189880231196,0.198600926159475,38.1148411395771,869785799.3444,50.8243636209978,380346414.441816,7.44432941854376,14308.0357444971,767399830.625296,5726198.42237415,767467687.3024,5800921.30563237,3461438648.33169,1074.38058439989,1998.17279808044,2568870693.03393,4990992921.73737,7280915.59381041,379718587.216617,3461624853.51633,1023290719.30514,5500175557.88696,1078390000.75439,5256476419.7127
"stress-ng --cpu 1 --cpu-method int64float --timeout 10s",7.57,710760521.759385,382750473.21413,1229547425.54327,11684.2229901325,111.440621928723,0,11.2190186444861,713455595.494828,56.8900506039216,384201718.915602,7.54460837777254,12095.2942007854,900548391.882644,29833.5178852113,903960475.07322,30087.5368168778,3458501997.95218,1077.9252977872,1920.25725348707,2566985163.84599,6180245350.67317,0,383140559.350009,3458556149.35588,5875856.58241674,6067034378.50028,497567328.153204,6325644166.62961
"stress-ng --cpu 1 --cpu-method int64double --timeout 10s",7.65,985244588.01434,491122940.502148,940816495.328583,16696.6911399864,55.5444817907613,0.297917392987941,38.9115760569464,982453272.927708,51.1609484885346,489731670.557793,7.54950620034562,12494.5587017084,676884979.088737,4139681.8250219,676185580.967694,4021165.20874393,3464440460.44126,1027.57303915821,1968.69346299382,2571269321.78883,5466657024.88429,0,490693797.683936,3454990810.79727,893260776.058559,5391688259.60418,837200582.983379,5712393131.26787
"stress-ng --cpu 1 --cpu-method int64longdouble --timeout 10s",7.25,872346494.951586,379713787.459598,872877955.733401,12488.6907572624,145.165888378034,0.198329167138634,-0.419309595288347,871085389.209032,50.382112356992,379164790.624383,7.3382581975275,12334.5103704526,770978711.851828,5824099.50316048,772463171.316138,5782782.4051752,3460339205.12157,1057.71256024514,1989.87899381348,2568391863.40935,4893137684.93247,7044333.21620659,379488120.97534,3465686738.09745,1035876670.28966,5921024381.77523,853855085.32469,5060540294.99072
"stress-ng --cpu 1 --cpu-method int32float --timeout 10s",7.51,727348151.238401,391682237.918637,1230243603.56939,11491.5895827508,149.820635650594,0,-3.59047019317913,726088709.332246,49.9749232756336,391003717.849071,7.35173376769116,9451.75113769132,922353139.381409,30728.5299170198,920124230.59208,30730.8110725936,3461596036.42997,1071.70143941848,1939.32234827658,2569310264.34117,6045693463.52235,0,390327553.935315,3451460332.18868,6035997.53235918,6193236600.21882,593122469.514034,6069786790.50271
"stress-ng --cpu 1 --cpu-method int32double --timeout 10s",7.5,986497440.444709,491747497.978843,932614960.783562,18079.4130412861,107.730084805142,0,37.8882692223862,982764537.555442,51.4058156951329,489887083.960381,7.54146732407267,12574.9908442691,678223537.283492,3749379.65243957,675948558.019285,3832141.70980656,3462558550.11132,1131.45688746556,2030.03797240238,2570022044.3053,5367847576.25097,0,489068965.52353,3452040380.26012,897816143.239956,5548945534.0029,778114965.993313,5611983484.53349
"stress-ng --cpu 1 --cpu-method int32longdouble --timeout 10s",7.25,873760527.56475,380329389.186261,875619274.152772,13434.9040772055,70.1911100322236,0,12.9977523680843,871392751.783126,52.4085343992874,379298501.811006,7.13151531748978,5487.05610436113,771851575.162175,5795242.03297608,772826153.645485,5734123.68153218,3464325622.71326,1118.60851813138,1995.38744908725,2571346459.29311,4875508999.95141,6937160.56445454,378842813.496282,3460190662.27118,1039515173.98097,5944184729.25532,854941108.447718,5047913095.41974
"stress-ng --cpu 1 --cpu-method intconversion --timeout 10s",6.84,118742.467033946,119484.220855353,263333482.403976,9685.82352169867,98.2587049905099,0,16.2711844962656,118145.949212365,49.5830608159368,118879.76807713,6.94051152668888,4484.90491351883,65764149.309318,4096.83965346927,65856780.907426,4430.19633201682,3462865244.63036,1031.0637360022,1954.45819634131,2570286777.74432,3740279845.94344,0,118870.45658439,3453984852.42794,802970.495938083,9119137713.9733,2068155.91458708,3760237012.60213
"stress-ng --cpu 1 --cpu-method ipv4checksum --timeout 10s",7.94,913528112.263657,121183585.210048,1333252764.03869,10179.2393284079,68.2264489628914,0.0992886157258457,48.2371974287937,912610183.724681,50.891291247046,121061529.789914,7.63800293054042,4488.55847328769,1036615172.87598,29509928.7589026,1041592293.24371,28684624.6006348,3464620410.10905,1066.24134134145,1948.0760257853,2571546077.80002,9087151307.75307,0,121070777.695912,3453868850.22016,2432884874.82018,92617585.5009123,1220626552.97106,9172205364.26217
"stress-ng --cpu 1 --cpu-method jmp --timeout 10s",7.99,1140748363.61044,2279974621.94603,1901433210.15029,13295.75144088,114.321849555329,0,13.3972861234813,1139890860.17675,48.479146914669,2278260929.78885,7.7485353209897,5902.20412549674,1807773839.82402,97988.5354590094,1809048956.48014,98108.2325489559,3456994114.6567,1031.41152110793,1828.94905784724,2565896023.77289,9984914877.28826,0,2282269784.26453,3462992706.89062,8063307.26636737,1910027.07855054,2857602331.65207,10009348674.1764
"stress-ng --cpu 1 --cpu-method lfsr32 --timeout 10s",6.79,483534.940893895,368722.212932001,318260947.21552,11786.5388523989,157.664076580157,0,41.1839154199185,482996.364536055,49.5029909302181,368361.518721062,7.24113794148948,5968.01287855423,79585752.571143,41394.6292029367,79327040.6650695,41429.9111433074,3462747077.51942,1076.99115953375,1942.15727534387,2569967128.41574,3952952082.96857,0,368034.053830771,3457320365.90952,3557643.02152555,8899653429.46625,2437985.51822231,3969591213.91306
"stress-ng --cpu 1 --cpu-method ln2 --timeout 10s",6.85,285407998.956134,285184285.459342,145120919.162897,11736.1562838741,91.0834377206993,0.198598608153832,29.1774065604442,285531097.461755,52.1044184847133,285307503.592378,7.34337199974495,4983.90062621452,71749224.6387892,47563.4662409983,71610108.8087348,47505.6273720183,3464270402.10994,1087.63998306719,1912.69394255537,2571298592.59777,1712788629.74037,87875744.7061501,285495425.221468,3462264024.73333,11331911.4883552,11073124529.8366,39596199.663138,1749100791.31156
